"author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","author/verifiedType","text","createdAt"
"false","false","https://pbs.twimg.com/profile_banners/1933259448/1557456039","Fri Oct 04 06:30:09 +0000 2013","licensed massage therapist.",,,,,,,,,,,"0","11667","490","1005","false","1933259448","false","false","false","gainesville, florida","2234","chris danne",,"false","https://pbs.twimg.com/profile_images/1126678013662384128/w_r3vG5X_normal.png","","165255","https://twitter.com/chrisdanne2","user","https://x.com/chrisdanne2","chrisdanne2",,"Mueller just opened investigation into Trump’s foreign inauguration donors https://t.co/VxT2miSXPD via @anteksiler","Sat May 12 23:59:38 +0000 2018"
"true","true","https://pbs.twimg.com/profile_banners/23954327/1458591160","Thu Mar 12 14:16:30 +0000 2009","Remote Work, Virtual Office, Work From Home, Remote Learning #WFH, #remotework #virtual #remote #workfromhome #remotelearning",,,,,,"hotpagenews.com","http://www.hotpagenews.com","0","22","http://t.co/tBHEZ1PaKD","0","1","20953","12857","false","23954327","false","false","false","United States","37640","Hotpage News",,"false","https://pbs.twimg.com/profile_images/513815303906545664/t8BNuo1P_normal.jpeg","","307056","https://twitter.com/Hotpage_News","user","https://x.com/Hotpage_News","Hotpage_News",,"John Kelly walks back comment calling Trump 'embarrassed' by Mueller investigation - https://t.co/PGtchkASjt","Sat May 12 23:59:05 +0000 2018"
"false","false","https://pbs.twimg.com/profile_banners/845158560/1435356161","Tue Sep 25 09:04:56 +0000 2012","ThB,ThM,PhD Calvary Christian College *NSW-IS3912 †Paralegal†Baptist† KJV†Married†Chumash Indian/Jew† Former Anonymous Hacktivist† Immunology/Virology",,,,,,"dorightchristians.wordpress.com","http://dorightchristians.wordpress.com","0","23","https://t.co/KuoWjGJteo","0","8217","19127","19874","true","845158560","false","false","false","Springfield, IL","6833","James A Ph.D⚖🕵⚓️🦍🗡️🇮🇱","506071337128189952","false","https://pbs.twimg.com/profile_images/1266581501195493376/cX_IJQmW_normal.jpg","","55316","https://twitter.com/DoRtChristians","user","https://x.com/DoRtChristians","DoRtChristians",,"@Lovin2Laugh @jerome_corsi @POTUS So you're saying Trump is a liar then when he claims that Mueller's investigation is a witch hunt? That's some pretty conflicting intel you have. Might want to re-think your presuppositions","Sat May 12 23:55:07 +0000 2018"
"true","false","https://pbs.twimg.com/profile_banners/27566279/1642178403","Mon Mar 30 02:37:31 +0000 2009","Cofounder @useberrystreet. Prev Head of Product @Kaiyo @Infatuation, and @Zagat & product @Zocdoc & @FWBtweets",,,,,,"berrystreet.co","http://berrystreet.co","0","23","https://t.co/9Qn2rfpD8W","0","1403","789","1271","true","27566279","false","false","false","Brooklyn, NY","151","Jesse Rose",,"false","https://pbs.twimg.com/profile_images/1546584318876827650/GA7SRJKU_normal.jpg","","1302","https://twitter.com/senor_rose","user","https://x.com/senor_rose","senor_rose",,"@charlierybak Text is a perfect channel for this type of stuff. @getprpl has been doing this a while with a few different channels. The Mueller investigation channel has been the best way to keep updated. https://t.co/FdIrWWr6X6","Sat May 12 23:55:05 +0000 2018"
"false","true","https://pbs.twimg.com/profile_banners/3493563087/1608401305","Sun Aug 30 18:21:48 +0000 2015","Political writer, covering Congress 
Activist 
Vincit Omnia Veritas
Personal acct, opinions my own  
Diversity is our strength. Unity is our power.",,,,,,,,,,,"0","191899","17646","17537","true","3493563087","false","false","false","Kent, CT","1083","MonaBurns.bsky.social",,"false","https://pbs.twimg.com/profile_images/1769424962782212096/4_qFuQHD_normal.jpg","","175625","https://twitter.com/Monaheart1229","user","https://x.com/Monaheart1229","Monaheart1229",,"@BruceThomson61 They'd go to both places. Mueller has asked the courts to supply him with these documents because of the federal investigation in DC.","Sat May 12 23:54:08 +0000 2018"
"false","true",,"Thu Jul 30 13:36:54 +0000 2009","College grad. Retired",,,,,,,,,,,"0","732","222","546","true","61488873","false","false","false","SC, USA","662","Bill Godfrey",,"false","https://pbs.twimg.com/profile_images/2110100688/Oh_Me_normal.jpg","","15034","https://twitter.com/BillnShari","user","https://x.com/BillnShari","BillnShari",,"I keep hearing where Russia infiltrated Illinois voter polls. This was supposed to be part of MUELLER'S investigation...Russia's involvement in our election. BUT TRUMP DIDN'T DO IT and Mueller didn't FIND It so WHAT GOOD IS MUELLER?! FIRE HIM AND ROSENSTEIN!","Sat May 12 23:51:49 +0000 2018"
"false","false",,"Sat Jan 18 23:28:16 +0000 2014","",,,,,,,,,,,"0","14","15","69","false","2298662856","false","false","false","","83","Charley Tuna",,"false","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","","23787","https://twitter.com/TunaCharley","user","https://x.com/TunaCharley","TunaCharley",,"@nytopinion Time to loudly the sound alarm, by name,clearly so even  dumbest voter understands, the Fascist-like attack on Mueller investigation and DOJ being carried out by the House GOP , Trump's knowledge of the effort, before DT - scandal weary public tunes out. #GOPAttack","Sat May 12 23:48:42 +0000 2018"
"false","false",,"Sat Jan 18 23:28:16 +0000 2014","",,,,,,,,,,,"0","14","15","69","false","2298662856","false","false","false","","83","Charley Tuna",,"false","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","","23787","https://twitter.com/TunaCharley","user","https://x.com/TunaCharley","TunaCharley",,"@MeetThePress Time to loudly the sound alarm, by name,clearly so even  dumbest voter understands, the Fascist-like attack on Mueller investigation and DOJ being carried out by the House GOP , Trump's knowledge of the effort, before DT - scandal weary public tunes out. #GOPAttack","Sat May 12 23:48:26 +0000 2018"
"true","true",,"Wed Mar 31 15:08:37 +0000 2010","",,,,,,,,,,,"0","13","21","323","false","128244490","false","false","false","","1354","Janell Larocque",,"false","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","","35528","https://twitter.com/JLaroc318","user","https://x.com/JLaroc318","JLaroc318",,"@RepSwalwell @RepTedLieu @RepAdamSchiff @MarkWarnerVA @RepJerryNadler 

You people need to go after Hilary Investigation as a buffer against Meadows/Mueller Probe. How many Hilary Investigations? Why so many? How much spent. How much time? Call for an audit of all Hilary investi","Sat May 12 23:48:24 +0000 2018"
"false","true","https://pbs.twimg.com/profile_banners/809474765475971072/1577838258","Thu Dec 15 19:06:38 +0000 2016","I'm not looking to date or a companion or a hookup. Please, no DM's.",,,,,,,,,,,"0","6640","417","204","true","809474765475971072","false","false","false","Daytona Beach, FL","0","Bass Terd","887514035788369920","false","https://pbs.twimg.com/profile_images/811055625014804480/AGaOsP9Z_normal.jpg","","11164","https://twitter.com/PerewJohn","user","https://x.com/PerewJohn","PerewJohn",,"@seanhannity From what I've read so far, Flynn has been railroaded by this Mueller farce of an investigation.","Sat May 12 23:43:28 +0000 2018"
