"author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/description/urls/1/display_url","author/entities/description/urls/1/expanded_url","author/entities/description/urls/1/indices/0","author/entities/description/urls/1/indices/1","author/entities/description/urls/1/url","author/entities/description/urls/2/display_url","author/entities/description/urls/2/expanded_url","author/entities/description/urls/2/indices/0","author/entities/description/urls/2/indices/1","author/entities/description/urls/2/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","text","createdAt"
"true","false","https://pbs.twimg.com/profile_banners/519728191/1652711303","Fri Mar 09 18:55:38 +0000 2012","https://t.co/7zIderj4y8 #Ω Blocked by @JerryFalwellJr @GenFlynn @AlanDersh @ScottBaio @RudyGiuliani @realDonaldTrump @MrsScottBaio","TheResistance.org","http://TheResistance.org","0","23","https://t.co/7zIderj4y8",,,,,,,,,,,,,,,,"0","2179","11340","7049","true","519728191","false","false","false","Right behind you ","33627","Jasper #Ω.",,"false","https://pbs.twimg.com/profile_images/1822800379781718016/R-aoWTTg_normal.jpg","","340469","https://twitter.com/JSavoly","user","https://x.com/JSavoly","JSavoly","ABC News’ Makes Robert Mueller/Jeff Sessions Investigation Announcement #MuellerInvestigation  https://t.co/kQK4hhM8RV","Tue Nov 21 23:59:37 +0000 2017"
"false","true",,"Sat Mar 31 11:29:56 +0000 2012","",,,,,,,,,,,,,,,,"just4u.jamberrynails.net","http://just4u.jamberrynails.net","0","22","http://t.co/YbLgt8m4MA","0","0","11","7","false","541577866","false","false","false","Virginia","13","Patti Cucchiara",,"false","https://pbs.twimg.com/profile_images/2038711443/both_normal.JPG","","80038","https://twitter.com/PattiCucchiara","user","https://x.com/PattiCucchiara","PattiCucchiara","JUST IN: 'ABC News' Makes Robert Mueller/Jeff Sessions Investigation Announcement https://t.co/4AwgJuRjQX","Tue Nov 21 23:59:22 +0000 2017"
"false","true","https://pbs.twimg.com/profile_banners/783917469064912896/1664324888","Thu Oct 06 06:31:03 +0000 2016","Photographer & music addict. 

NikonD5100
Pixel2

Instagram: https://t.co/HeDJPaorF1","instagram.com/zehrkeith?r=na…","https://www.instagram.com/zehrkeith?r=nametag","61","84","https://t.co/HeDJPaorF1",,,,,,,,,,,,,,,,"0","74766","511","1252","true","783917469064912896","false","false","false","""Planet of Sound""","1667","Keith L. Zehr","1437529256209305602","false","https://pbs.twimg.com/profile_images/1574918842236682240/0Agk4kon_normal.jpg","","25910","https://twitter.com/ZehrKeith","user","https://x.com/ZehrKeith","ZehrKeith","Mueller's investigation should ""get"" Kushner as well. https://t.co/y7Up1DCtSK","Tue Nov 21 23:58:03 +0000 2017"
"false","false","https://pbs.twimg.com/profile_banners/2165720692/1525526677","Sun Nov 03 02:13:27 +0000 2013","being yourself & being kind should be one & the same.

Take small miracles as they come.
#resist #FBR #DemilitarizeThePolice Typos are mine

I'm Anti-Fa(scist).",,,,,,,,,,,,,,,,,,,,,"0","4265","2020","4250","true","2165720692","false","false","false","exactly where I thought I'd be","294","Ethyl the Aardvark goes Quantity Surveying","1262755569913323520","false","https://pbs.twimg.com/profile_images/1122735501813923840/Thf3Jk77_normal.jpg","","11674","https://twitter.com/LeeNiehaus","user","https://x.com/LeeNiehaus","LeeNiehaus","@willsommer Mueller investigation. Everyone should say that. In unison...","Tue Nov 21 23:57:30 +0000 2017"
"false","true","https://pbs.twimg.com/profile_banners/98557481/1594184463","Tue Dec 22 05:23:34 +0000 2009","Most Holy Family Monastery - Defending the Traditional Catholic Faith.   https://t.co/HxDdrZRwYe https://t.co/TyApcyPRqX 100 million views on YouTube https://t.co/v2VbNFRmvl","vaticancatholic.com","http://vaticancatholic.com","73","96","https://t.co/HxDdrZRwYe","endtimes.video","http://endtimes.video","97","120","https://t.co/TyApcyPRqX","gab.com/vaticancatholic","http://gab.com/vaticancatholic","150","173","https://t.co/v2VbNFRmvl","vaticancatholic.com","http://vaticancatholic.com","0","23","https://t.co/HxDdrZRwYe","0","22","14480","1","false","98557481","true","false","false","Fillmore, NY","8827","vaticancatholic.com","1763677997217829253","false","https://pbs.twimg.com/profile_images/426458512714002432/gnfT3rcL_normal.jpeg","","17646","https://twitter.com/vaticancatholic","user","https://x.com/vaticancatholic","vaticancatholic","2 minute video: More details on the Mueller investigation - https://t.co/tHzJfJPaXA https://t.co/yHo6AppkbW","Tue Nov 21 23:56:12 +0000 2017"
"true","true","https://pbs.twimg.com/profile_banners/216425548/1680947734","Tue Nov 16 17:58:41 +0000 2010","Attorney, counselor, advocate, pedestrian.",,,,,,,,,,,,,,,,"republicreport.org/about/","https://www.republicreport.org/about/","0","23","https://t.co/Zd3Lhd87Zr","0","5745","4426","1451","true","216425548","false","false","false","Washington DC","1273","David Halperin",,"false","https://pbs.twimg.com/profile_images/1459603429995819009/L3Uc8Bmk_normal.jpg","","22389","https://twitter.com/DaHalperin","user","https://x.com/DaHalperin","DaHalperin","The picture is LOL good. The Mueller investigation is ... solid. https://t.co/gtrq7Cw9Bj via @WSJ","Tue Nov 21 23:55:12 +0000 2017"
"false","false","https://pbs.twimg.com/profile_banners/36711022/1446650131","Thu Apr 30 16:56:13 +0000 2009","Journalist, storyteller, lifelong reader. Texan by birth and by choice. Author of STEADY: https://t.co/8kW1QUbZQJ","bit.ly/DanRather-STEA…","https://bit.ly/DanRather-STEADY","90","113","https://t.co/8kW1QUbZQJ",,,,,,,,,,,,,,,,"0","11649","2469585","1118","true","36711022","true","false","false","Austin, TX","1127","Dan Rather",,"false","https://pbs.twimg.com/profile_images/649334374278807552/sUX0LOaE_normal.jpg","","22183","https://twitter.com/DanRather","user","https://x.com/DanRather","DanRather","When it comes to getting close to President Trump, this news from the @WSJ suggests the Mueller investigation isn't just knocking on the door, it may already be in the room. 

https://t.co/o9KJS07frS","Tue Nov 21 23:43:29 +0000 2017"
"false","true",,"Wed Mar 09 10:50:28 +0000 2016","Mother, Modi Ka Parivar, Author 'We Are One Cosmic Being' on Sanatana Dharma, Foreword by Dr. Frawley, Pbk online only Pothi in Bharat, on Amazon in West.",,,,,,,,,,,,,,,,,,,,,"0","22534","442","989","true","707518911953149952","false","false","false","Toronto","348","JhansiKiBeti","942844252089933827","false","https://pbs.twimg.com/profile_images/1810346088630812672/9C78L47N_normal.jpg","","17383","https://twitter.com/onecosmicbeing","user","https://x.com/onecosmicbeing","onecosmicbeing","@JoyAnnReid @grandoftwo Also, trump spoke to Putin for 90 minutes today, and his lawyer just announced Mueller investigation will wrap up in January.  sounds very sinister to me, what is trump colluding with putin this time?","Tue Nov 21 23:39:14 +0000 2017"
"false","false",,"Mon Jun 15 13:24:12 +0000 2015","Jesus FIRST, Family, and then community of patriots. MAGA",,,,,,,,,,,,,,,,,,,,,"0","66576","221","1953","true","3326940809","false","false","false","","871","Newshound",,"false","https://pbs.twimg.com/profile_images/624693117585879040/g_SP6oxm_normal.jpg","","113170","https://twitter.com/usNewshound","user","https://x.com/usNewshound","usNewshound","Meet The Very Shady Prosecutor Robert Mueller Has Hired For The Russia Investigation https://t.co/HCCJ3vkX1j via @dailycaller","Tue Nov 21 23:38:34 +0000 2017"
"true","true",,"Sun Feb 28 04:46:50 +0000 2016","Freedom loving patriot living in a blue state. Pro-1st & 2nd A. Stop illegal,unvetted entry. Term limits.Ban CRT. Pro vets & law enforcement.❤️dogs. No DMs",,,,,,,,,,,,,,,,,,,,,"0","21128","2883","1024","true","703803520869269504","false","false","false","Las Vegas, NV","1816","Hazel Eyes",,"false","https://pbs.twimg.com/profile_images/703805030483111937/-4Fty3Sf_normal.jpg","","117044","https://twitter.com/hazelbrunette","user","https://x.com/hazelbrunette","hazelbrunette","@tedcruz @gracefulme3 The exact same kind of probe as Mueller is doing. And let whoever runs the investigation hire all Republican donor lawyers with no budget or time limit... just to be sure😉","Tue Nov 21 23:38:29 +0000 2017"
