"author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","author/verifiedType","text","createdAt"
"false","true",,"Sat Jun 06 04:36:45 +0000 2009","Still in the wind and not slowing down!",,,,,,,,,,,"0","14","7","22","false","45070094","false","false","false","Phoenix, Az","1","Michael",,"false","https://pbs.twimg.com/profile_images/2768399037/c60d0794bf1f80e123d880bd1e1b1735_normal.png","","178","https://twitter.com/papamike74","user","https://x.com/papamike74","papamike74",,"@maddow why is representative Nunes on Fox explaining his investigation into the Trump Russia dossier? Isn't he supposed to be recused from All Things Russia? Asshole!","Wed Nov 01 23:57:26 +0000 2017"
"false","true",,"Fri Dec 16 04:32:00 +0000 2016","",,,,,,,,,,,"0","108","23","185","false","809617045709004800","false","false","false","Charlotte, NC","160","John Woodruff",,"false","https://pbs.twimg.com/profile_images/1027220617353998338/7YwUTscC_normal.jpg","","10120","https://twitter.com/Dawgzfanjw13","user","https://x.com/Dawgzfanjw13","Dawgzfanjw13",,"Trump Lays Out Brilliant Case Proving the Russia Investigation is a Witch Hunt https://t.co/P2b1opZvzR","Wed Nov 01 23:52:23 +0000 2017"
"false","true",,"Wed Jan 20 00:13:15 +0000 2016","",,,,,,,,,,,"0","33487","158","197","true","4828133866","false","false","false","Charlottesville, Virginia","1030","Beth Mulvihill",,"false","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","","75313","https://twitter.com/beth_mulvihill","user","https://x.com/beth_mulvihill","beth_mulvihill",,"Entire Trump-Russia Collusion Investigation Is a Farce - Not Based on US Law https://t.co/oyawMokDDX","Wed Nov 01 23:48:44 +0000 2017"
"false","false",,"Thu Jul 30 13:53:14 +0000 2015","",,,,,,,,,,,"0","1626","35","230","false","3395629048","false","false","false","South Carolina, USA","694","Jeff Simmons",,"false","https://pbs.twimg.com/profile_images/955111900286767106/Ijy-qWnT_normal.jpg","","4093","https://twitter.com/jeffsimmons882","user","https://x.com/jeffsimmons882","jeffsimmons882",,"@MDBlanchfield @TheTermaNaida Unabashed Lying Heifer.  THE MAJORITY OF AMERICANS THAT DIDN’T VOTE FOR TRUMP CARE ABOUT THE RUSSIA COLLUSION INVESTIGATION! @SHSanders45","Wed Nov 01 23:43:38 +0000 2017"
"false","true","https://pbs.twimg.com/profile_banners/21977210/1721950854","Thu Feb 26 05:17:45 +0000 2009","Make America Laugh and Sing Again! Join us for Let’s Fall in Love: The Songs and Loves of Cole Porter at 7PM at Pangeanyc!",,,,,,"lisafaithphillips.com","http://lisafaithphillips.com","0","23","https://t.co/RgmBFmE5A9","0","38448","628","1187","true","21977210","false","false","false","Manhattan","698","Lisa Faith Phillips","1856746385904685083","false","https://pbs.twimg.com/profile_images/1829003321119563776/GCe56Yyc_normal.jpg","","38176","https://twitter.com/LisaFaith","user","https://x.com/LisaFaith","LisaFaith",,"Great @Seth - Mueller Indicts Three Former Trump Officials In Russia Investigation: A ... https://t.co/pSlW0kq2df via @YouTube","Wed Nov 01 23:33:30 +0000 2017"
"false","false","https://pbs.twimg.com/profile_banners/13850422/1692614972","Sat Feb 23 03:12:49 +0000 2008","Political news, campaign stories and Washington coverage from CNN Politics.",,,,,,"cnn.com/politics","http://cnn.com/politics","0","23","https://t.co/F5tsftvQpR","0","4","4566845","327","true","13850422","true","false","false","Washington, DC","153718","CNN Politics",,"false","https://pbs.twimg.com/profile_images/1693576055737487360/7rbADPvJ_normal.jpg","","222639","https://twitter.com/CNNPolitics","user","https://x.com/CNNPolitics","CNNPolitics","Business","The Russia investigation raises the stakes for President Trump's trip to Asia https://t.co/riS1wJgazE https://t.co/m0nnZK9HCW","Wed Nov 01 23:33:05 +0000 2017"
"false","false","https://pbs.twimg.com/profile_banners/3539244087/1441328976","Fri Sep 04 00:29:16 +0000 2015","Sheep in wolves' clothing",,,,,,,,,,,"0","3063","187","1588","true","3539244087","false","false","false","Likely an Airplane Somewhere","200","Dude (Not)Perfect",,"false","https://pbs.twimg.com/profile_images/890784708258275328/GmW7-7Ng_normal.jpg","","3173","https://twitter.com/profunditly","user","https://x.com/profunditly","profunditly",,"If #DOJ goal was “a full and thorough investigation” of Russia interference in election, why is #MuellerInvestigation mandate #Trump only?","Wed Nov 01 23:29:40 +0000 2017"
"true","false","https://pbs.twimg.com/profile_banners/873547291524833280/1638061490","Sat Jun 10 14:27:58 +0000 2017","Mom of 2•Grandma of 5•Lesbian•Wife•Proud Jew•Recovering Addict|7/8/88•60s child•Punk Rocker•#Resistance•Proud Democratic•FBR🏳️‍🌈🇮🇱BLM",,,,,,,,,,,"0","103656","22415","22537","true","873547291524833280","false","false","false","Massachusetts, USA","761","Amy G-B 🟦💔🇺🇦 I stand with Ukraine BLM 🏳️‍🌈🧩","1543301965047894017","false","https://pbs.twimg.com/profile_images/1708219142409445376/iAkvhJOl_normal.jpg","","126222","https://twitter.com/BrauneisAmy","user","https://x.com/BrauneisAmy","BrauneisAmy",,"“I just fired the head of the FBI. He was crazy, a real nut job,” Trump says. “I faced great pressure because of Russia. That’s taken off.” Then he adds, “I’m not under investigation.” 
 https://t.co/rsIhLPKyEU","Wed Nov 01 23:29:00 +0000 2017"
"false","true",,"Sat Sep 22 03:06:58 +0000 2012","",,,,,,,,,,,"0","447092","5321","5607","true","838976832","true","false","false","New York, New York","3919","Jackie Assange is Free! PeaceNotWar Kennedy24!","1833813655760032090","false","https://pbs.twimg.com/profile_images/3769734701/357b7de0d08d9061a69f946e85ff0629_normal.jpeg","","340348","https://twitter.com/jackiemccaffrey","user","https://x.com/jackiemccaffrey","jackiemccaffrey",,"What We Know: Mueller's Indictments &amp; The Trump-Russia Investigation https://t.co/vwvceL0tdg via @YouTube","Wed Nov 01 23:27:49 +0000 2017"
"false","true","https://pbs.twimg.com/profile_banners/3514817897/1441130023","Tue Sep 01 17:44:58 +0000 2015","Novelist, playwright, essayist and screenwriter, whom the New York Times has called, “one of our pre-eminent humorists.” Illustration by Tom Bachtell",,,,,,"paulrudnick.com","http://paulrudnick.com","0","22","http://t.co/vXfUcjtomP","0","43823","78707","1216","true","3514817897","false","false","false","New York, NY","7373","Paul Rudnick",,"false","https://pbs.twimg.com/profile_images/638771081013100544/f7pFUhTi_normal.jpg","","15000","https://twitter.com/PaulRudnickNY","user","https://x.com/PaulRudnickNY","PaulRudnickNY",,"Trump told the NYT that he's not angry, he's very popular, the Russia investigation won't touch him, and he's pregnant

#Trump","Wed Nov 01 23:27:31 +0000 2017"
