"author/affiliatesHighlightedLabel/label/badge/url","author/affiliatesHighlightedLabel/label/description","author/affiliatesHighlightedLabel/label/longDescription/entities/0/fromIndex","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/mention_results/result/__typename","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/mention_results/result/legacy/screen_name","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/mention_results/result/rest_id","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/screen_name","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/type","author/affiliatesHighlightedLabel/label/longDescription/entities/0/toIndex","author/affiliatesHighlightedLabel/label/longDescription/text","author/affiliatesHighlightedLabel/label/userLabelType","author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","text","createdAt"
,,,,,,,,,,,"false","false","https://pbs.twimg.com/profile_banners/4707381252/1459152228","Mon Jan 04 06:58:00 +0000 2016","Tweets opinion | Conservative | Pretty Good w/ a Keyboard | Watching Shenanigans of Journalists | Media Content Fair Use",,,,,,,,,,,"0","2537","1682","298","false","4707381252","false","false","false","D.C.","4478","JW Watch","1109450046590705665","false","https://pbs.twimg.com/profile_images/885913002565812224/jhZ-0ups_normal.jpg","","85026","https://twitter.com/JW_Watch","user","https://x.com/JW_Watch","JW_Watch","@JamesAGagliano @jimsciutto @CNN @johnfkirby63 …so then what about the DNC/Clinton who SOUGHT out info from anti-#Trump #Ukraine for purpose of meddling in our election? No comment? odd.","Fri Jul 14 23:53:59 +0000 2017"
,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/837022642938892288/1488841466","Wed Mar 01 19:32:04 +0000 2017","Music lover-Avid reader-World traveler-Global visionary-Veteran-Spiritual-Resilient warrior-Creative thinker-Laser-focused on equality and justice for all",,,,,,,,,,,"0","16593","2777","4360","true","837022642938892288","false","false","false","Richmond, CA","102","dkrich",,"false","https://pbs.twimg.com/profile_images/837029146794455040/eO1aeqf-_normal.jpg","","23912","https://twitter.com/dkrich17","user","https://x.com/dkrich17","dkrich17","@jilevin Really pathological liar🤥 #unfit45 u pressed Putin-election meddling? Why not do same thing as your CNN exec body slam, ohh, he's American","Fri Jul 14 23:38:54 +0000 2017"
,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/716310383888347136/1505092124","Sat Apr 02 17:04:38 +0000 2016","News & Medias",,,,,,"americandaily.com.ve","http://americandaily.com.ve","0","23","https://t.co/GLv8uFPiRy","0","223","791","538","false","716310383888347136","false","false","false","New York, USA","1131","American Daily",,"false","https://pbs.twimg.com/profile_images/907048422347300864/ncTZr8Oz_normal.jpg","","305000","https://twitter.com/americandailys","user","https://x.com/americandailys","americandailys","Trump on pressing Putin on election meddling: 'What do you do? End up in a fistfight… https://t.co/EDvBqJVgoQ","Fri Jul 14 23:36:18 +0000 2017"
,,,,,,,,,,,"true","false","https://pbs.twimg.com/profile_banners/791114183903358977/1574100164","Wed Oct 26 03:08:14 +0000 2016","Please Turn America's  Check Engine Light Off 🇺🇲",,,,,,"citizenmedia.news/live","http://citizenmedia.news/live","0","23","https://t.co/oyXsmu168Y","0","8478","3680","3380","true","791114183903358977","false","false","false","Washington, USA","528","Kris Blough","1480701006195224577","false","https://pbs.twimg.com/profile_images/922308806767292416/YSL4a39Q_normal.jpg","","19111","https://twitter.com/stopglobalism1","user","https://x.com/stopglobalism1","stopglobalism1","VIDEO : Loretta Lynch EXPOSED! https://t.co/NlIIAOoiSV via @truthfeednews

#LorettaLynch may be guilty of election meddling as well👿👿","Fri Jul 14 23:25:00 +0000 2017"
,,,,,,,,,,,"false","true",,"Sun Jan 22 06:01:41 +0000 2017","",,,,,,,,,,,"0","2859","53","257","false","823047964276957184","false","false","false","","82","JB",,"false","https://pbs.twimg.com/profile_images/823049127474831361/zSm_gZFk_normal.jpg","","7430","https://twitter.com/jbpscooter","user","https://x.com/jbpscooter","jbpscooter","@FoxNews Dems have taken a strong stance against Russia since it invaded Ukraine &amp; supported Assad. It's only gotten stronger since election meddling","Fri Jul 14 23:24:43 +0000 2017"
,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/822710256849432576/1509337436","Sat Jan 21 07:39:45 +0000 2017","Worker advocate, Father, student of Political Science. I’m determined to expose Putin's American Idiot.",,,,,,,,,,,"0","23638","298","601","false","822710256849432576","false","false","false","Land of OZ.","12453","Roger R. Rivera",,"false","https://pbs.twimg.com/profile_images/887864421074190336/qVm8g3bi_normal.jpg","","47562","https://twitter.com/RogerRRivera1","user","https://x.com/RogerRRivera1","RogerRRivera1","Worth your time!  If you are supporting Trump's bromance w Putin's Russia &amp; meddling in US election, this 5 part series on PBS is critical. https://t.co/UauUPzTy5z","Fri Jul 14 23:21:50 +0000 2017"
,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/957220153/1354391426","Mon Nov 19 11:04:23 +0000 2012","We Believe in collecting Differences",,,,,,,,,,,"0","6","453","1715","false","957220153","false","false","false","Some Where in this World","0","tech&politics",,"false","https://pbs.twimg.com/profile_images/2872705861/f9417db05b2ff1bcb27e382f0329bf66_normal.png","","294395","https://twitter.com/tech_politics","user","https://x.com/tech_politics","tech_politics","Trump on pressing Putin on election meddling: 'What do you do? End up in a fistfight?' https://t.co/VkVjYIX6AL","Fri Jul 14 23:20:18 +0000 2017"
,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/25561988/1565922825","Fri Mar 20 19:42:20 +0000 2009","🌻Lover of history and science. I love my daughter soooo much.",,,,,,,,,,,"0","39107","1214","4509","false","25561988","false","false","false","California, USA","2361","Sassan K. Darian","1659187351963447299","false","https://pbs.twimg.com/profile_images/1483201832537112582/DCc8624N_normal.jpg","","50141","https://twitter.com/sasss31","user","https://x.com/sasss31","sasss31","@AdelleNaz Does going all the way include betraying one's country to win; by welcoming the assistance of a foreign adversary in election meddling?","Fri Jul 14 23:12:05 +0000 2017"
,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/24995838/1355521576","Wed Mar 18 01:00:18 +0000 2009","Writer for http://t.co/nALy3mmQ, Teacher of Gov't and History at local college","Examiner.com","http://Examiner.com","11","31","http://t.co/nALy3mmQ","…vchains-politicalparties.blogspot.com","http://www.govchains-politicalparties.blogspot.com","0","22","http://t.co/ys3kw3Z5LA","0","461","1684","1844","true","24995838","false","false","false","Tulsa OK","29","govchains",,"false","https://pbs.twimg.com/profile_images/2976217869/1946b6cc74690b945917f6847a30cd22_normal.jpeg","","28107","https://twitter.com/govchains","user","https://x.com/govchains","govchains","Putin is winning with election meddling. He understands our elections are on-going. https://t.co/lj4ZNW9zPF","Fri Jul 14 23:07:06 +0000 2017"
,,,,,,,,,,,"true","false","https://pbs.twimg.com/profile_banners/798820788983824386/1653540933","Wed Nov 16 09:31:32 +0000 2016","",,,,,,,,,,,"0","34271","511","1026","false","798820788983824386","false","false","false","Beverly Hills, CA","207","Baba Yaga 🇷🇺 🇺🇸✝️ URA!!!!","1813818176288993294","false","https://pbs.twimg.com/profile_images/1497835903816855554/nEcmFvgs_normal.jpg","","26441","https://twitter.com/babayaga9909","user","https://x.com/babayaga9909","babayaga9909","Let's cover 2016 election meddling by 🇷🇺 so we can be occupied while they get away for murdering innocent Palestinians and 🇸🇾.Zionist scums","Fri Jul 14 23:05:08 +0000 2017"
