"author/affiliatesHighlightedLabel/label/badge/url","author/affiliatesHighlightedLabel/label/description","author/affiliatesHighlightedLabel/label/longDescription/entities/0/fromIndex","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/mention_results/result/__typename","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/mention_results/result/legacy/screen_name","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/mention_results/result/rest_id","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/screen_name","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/type","author/affiliatesHighlightedLabel/label/longDescription/entities/0/toIndex","author/affiliatesHighlightedLabel/label/longDescription/text","author/affiliatesHighlightedLabel/label/userLabelType","author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","text","createdAt"
,,,,,,,,,,,"false","false","https://pbs.twimg.com/profile_banners/755889405362049024/1535471219","Wed Jul 20 22:17:32 +0000 2016","⚖️ We need Justice in DC.",,,,,,,,,,,"0","110561","23100","19689","false","755889405362049024","false","false","false","United States","6969","JackReacher","843377417108492288","false","https://pbs.twimg.com/profile_images/1520252286127255553/f98hafts_normal.jpg","","73171","https://twitter.com/DCjusticeseeker","user","https://x.com/DCjusticeseeker","DCjusticeseeker","@ComonSenseFreak The payment was for ""legal consulting"" and could be unrelated to Trump Jr. or the Russia investigation","Mon Jul 17 22:29:50 +0000 2017"
"https://pbs.twimg.com/semantic_core_img/1428827730364096519/4ZXpTBhS?format=png&name=orig","Automated","13","User","FabCurators","1531870169727127552","FabCurators","TimelineRichTextMention","25","Automated by @FabCurators","AutomatedLabel","false","true","https://pbs.twimg.com/profile_banners/3074799338/1492876825","Thu Mar 12 07:36:02 +0000 2015","https://t.co/LDKtWfvTOv - breaking news in videos. From the world's best news sources. All in one place. Virtually in realtime #NewsInVids #NewsInVidsCom","NewsInVids.com","http://NewsInVids.com","0","23","https://t.co/LDKtWfvTOv","newsinvids.com","http://www.newsinvids.com","0","23","https://t.co/1PMUb11XUZ","0","2","733","1194","false","3074799338","false","false","false","","132398","Breaking World News In Videos. From NewsInVids.com",,"false","https://pbs.twimg.com/profile_images/855812066552172544/VSLuyBRK_normal.jpg","","168512","https://twitter.com/NewsInVids","user","https://x.com/NewsInVids","NewsInVids","Trump shifts focus from Russia investigation https://t.co/H07KKgnaiv #NewInVids https://t.co/3K6eM0ibIk","Mon Jul 17 22:26:51 +0000 2017"
,,,,,,,,,,,"false","false","https://pbs.twimg.com/profile_banners/759414372984721408/1484424986","Sat Jul 30 15:44:30 +0000 2016","News and updates on the U.S Government, politics and economy. It started originally as a news bot by @dvolatility @macrodelics but it got disconnected.",,,,,,,,,,,"0","3","2479","47","false","759414372984721408","false","false","false","United States","541","US Government Report",,"false","https://pbs.twimg.com/profile_images/821564873624559617/acaYXbtY_normal.jpg","","219270","https://twitter.com/USGovReport","user","https://x.com/USGovReport","USGovReport","Trump shifts focus from Russia investigation https://t.co/g72pWqZw03 #Politics #Trump #USA","Mon Jul 17 22:25:25 +0000 2017"
,,,,,,,,,,,"true","true","https://pbs.twimg.com/profile_banners/832478072548909056/1487314184","Fri Feb 17 06:33:33 +0000 2017","Carbon based. Cage free, eggisential. ~~~#hashbrownsB4hashtags What fresh hell is this?",,,,,,"youtu.be/huPFUQNjCbY","http://youtu.be/huPFUQNjCbY","0","23","https://t.co/ivApa4jUzz","0","4208","89","272","true","832478072548909056","false","false","false","Shelbyville, IN","304","Marco Pickles 🚾","849898558517989376","false","https://pbs.twimg.com/profile_images/832480803057590272/iXr0qoQd_normal.jpg","","9830","https://twitter.com/RoomClearer","user","https://x.com/RoomClearer","RoomClearer","@ChunkyTWshngtn You're saying that the only reason there's an investigation into the Trump administration's ties to Russia is because Hillary.  Am I wrong?","Mon Jul 17 22:25:25 +0000 2017"
,,,,,,,,,,,"true","false","https://pbs.twimg.com/profile_banners/100986964/1568716356","Fri Jan 01 14:32:20 +0000 2010","The Fastest Crime News Updates on the Planet!",,,,,,"OddCrimes.com","http://OddCrimes.com","0","23","https://t.co/iQ8c4IcHeC","0","80","5250","839","true","100986964","false","false","false","USA","28059","PulpNews Crime",,"false","https://pbs.twimg.com/profile_images/1173908179320791040/vuqZqND8_normal.jpg","","4232530","https://twitter.com/PulpNews","user","https://x.com/PulpNews","PulpNews","#Trump shifts focus from Russia #investigation - Jul 17 @ 6:24 PM ET https://t.co/wAtoGrOSYu https://t.co/VyR5glflxI","Mon Jul 17 22:24:50 +0000 2017"
,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/809113292128092160/1506056288","Wed Dec 14 19:10:16 +0000 2016","",,,,,,,,,,,"0","349959","214","929","true","809113292128092160","false","false","false","Ohio, USA","180","WhatWhat",,"false","https://pbs.twimg.com/profile_images/911092218756194306/VTs0j3YV_normal.jpg","","15922","https://twitter.com/HuxleyPants25","user","https://x.com/HuxleyPants25","HuxleyPants25","@VP Like the time you said Trump didn't fire Comey b/c of Russia investigation &amp; then Trump turns around &amp; tells Lester it was totally Russia","Mon Jul 17 22:24:10 +0000 2017"
,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/865213853092786176/1534628254","Thu May 18 14:33:52 +0000 2017","Trending news videos and breaking live streams from U.S. based news channels on YouTube. (via @dvolatility @goldusdx @macroalgo @qwerl_nouvel)",,,,,,,,,,,"0","0","802","19","false","865213853092786176","false","false","false","Metro Detroit, MI","2513","Trending Newscast",,"false","https://pbs.twimg.com/profile_images/1084935107213963264/HWxRTCef_normal.jpg","","97134","https://twitter.com/TrendingNewsTV","user","https://x.com/TrendingNewsTV","TrendingNewsTV","Trump shifts focus from Russia investigation https://t.co/X8HqrcMVI9 #breaking #news #video #usa #world","Mon Jul 17 22:21:24 +0000 2017"
,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/831128137769504770/1490276494","Mon Feb 13 13:09:24 +0000 2017","Find the latest videos on https://t.co/ocMkBj9SxO Watch videos from various sources about politics, world news, music, movies, tech, entertainment  and more.","Videokron.com","http://Videokron.com","26","49","https://t.co/ocMkBj9SxO","videokron.com","https://www.videokron.com/","0","23","https://t.co/UIvoLu0NF7","0","95","386","437","false","831128137769504770","false","false","false","Moeskroen, Belgium","11736","VideoKron","910102606546182144","false","https://pbs.twimg.com/profile_images/832562524797227009/06PcJv1j_normal.jpg","","115916","https://twitter.com/VideoKron","user","https://x.com/VideoKron","VideoKron","Trump shifts focus from Russia investigation - https://t.co/fEvk879Xe0","Mon Jul 17 22:15:03 +0000 2017"
,,,,,,,,,,,"false","true",,"Wed May 31 21:23:59 +0000 2017","",,,,,,,,,,,"0","34","0","27","false","870028104546361344","false","false","false","","2","The American Patriot",,"false","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","","164","https://twitter.com/TheAmericanPat4","user","https://x.com/TheAmericanPat4","TheAmericanPat4","@MIGHTYMAGAMAN @JudicialWatch @TheDemocrats Just wait until the Russia/Trump collusion investigation is done. Nothing burger will cost taxpayers tens of millions on conspiracy theory","Mon Jul 17 22:14:27 +0000 2017"
,,,,,,,,,,,"false","true",,"Tue Apr 04 17:41:21 +0000 2017","We find you great TV shows",,,,,,,,,,,"0","34","52","293","false","849315968702664704","false","false","false","","39825","POPTOP #tv",,"false","https://pbs.twimg.com/profile_images/849331314960609280/FRC1HGKs_normal.jpg","","39844","https://twitter.com/poptopittv","user","https://x.com/poptopittv","poptopittv","Trump shifts focus from Russia investigation https://t.co/T6VhYtlmJU","Mon Jul 17 22:08:30 +0000 2017"
