"author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","text","createdAt"
"false","true",,"Wed Oct 26 19:59:53 +0000 2011","Community and political activist.",,,,,,,,,,,"0","1856","35","62","false","398962056","false","false","false","Asheville, North Carolina","78","James Sheeler",,"false","https://pbs.twimg.com/profile_images/1608114741/rjSJAk6EGH3wQKJBPCD0Og_normal.jpg","","3116","https://twitter.com/arrowgreengo","user","https://x.com/arrowgreengo","arrowgreengo","Sign here to demand that Congress act immediately to protect Robert Mueller's investigation into President Trump and Russia from Republican interference.
https://t.co/3N5dHZn1JL","Sat Apr 07 23:58:41 +0000 2018"
"true","false","https://pbs.twimg.com/profile_banners/28116075/1613852771","Wed Apr 01 14:31:27 +0000 2009","Social worker, author, #resistance",,,,,,,,,,,"0","57977","2436","3371","true","28116075","false","false","false","","604","Birdinggirl, MSW,LICSW","1299074973768781825","false","https://pbs.twimg.com/profile_images/1302945864491708424/lFaNloeX_normal.jpg","","10085","https://twitter.com/pammystweet","user","https://x.com/pammystweet","pammystweet","Fire at White House rages on. Very good investigation (well trained FBI). Mueller (and company) doing a great job. THANK YOU! https://t.co/dYcL92iiWZ","Sat Apr 07 23:57:11 +0000 2018"
"false","false","https://pbs.twimg.com/profile_banners/823599994099765248/1519627504","Mon Jan 23 18:35:15 +0000 2017","There must be accountability! VoteBlue! #NoJusticeNoPeace #BlackLivesMatter #GunReform Followed by Glen Kirshner & Former Obama Advisor Desert Storm Veteran",,,,,,,,,,,"0","18784","2860","3872","true","823599994099765248","false","false","false","Ojai, CA","670","lil'dragonfly","1267491934181814272","false","https://pbs.twimg.com/profile_images/998400436729085954/LauR8_3m_normal.jpg","","34260","https://twitter.com/Lil_Dragonfly_7","user","https://x.com/Lil_Dragonfly_7","Lil_Dragonfly_7","@realDonaldTrump You're scared 🤣 Still trying to discredit the DOJ. Nothing you do will stop this investigation. The report will be detailed, thorough, impeccably written &amp; proven beyond a shadow of a doubt. We trust Mueller &amp; his team. They're dealing w/ facts, something clearly foreign to you.","Sat Apr 07 23:56:53 +0000 2018"
"false","true",,"Wed Nov 23 02:18:42 +0000 2011","",,,,,,,,,,,"0","3117","33","57","false","419189903","false","false","false","","253","Obsidian Hutchinson",,"false","https://pbs.twimg.com/profile_images/1351938870326259714/rCx-sDIo_normal.jpg","","2873","https://twitter.com/obsidian468","user","https://x.com/obsidian468","obsidian468","@realDonaldTrump It's called an ongoing investigation into you and many of your GOP cronies. Standard legal procedure is to not release those documents to the ones being investigated. Don't worry, you'll see them when Mueller announces your indictment.","Sat Apr 07 23:55:44 +0000 2018"
"false","true","https://pbs.twimg.com/profile_banners/61004663/1710731240","Tue Jul 28 20:05:59 +0000 2009","Belmont MA, retired Mintz Levin partner, Red Sox/Celtics/Patriots fan, Methodist, Democrat, OK native, KU ‘71, Yale Law ‘76, husband, dad of 2 awesome daughters",,,,,,"facebook.com/jrregier","http://www.facebook.com/jrregier","0","23","https://t.co/M6VsNsJulS","0","3725","514","802","false","61004663","false","false","false","","767","John Regier",,"false","https://pbs.twimg.com/profile_images/1225552805127245826/ziu8ubgR_normal.jpg","","47549","https://twitter.com/jrregier","user","https://x.com/jrregier","jrregier",".@IgnatiusPost: How the courts — not Congress — could protect Mueller’s investigation. https://t.co/kXRrXBKCW4","Sat Apr 07 23:54:55 +0000 2018"
"false","true","https://pbs.twimg.com/profile_banners/249492120/1469413340","Wed Feb 09 04:33:30 +0000 2011","",,,,,,,,,,,"0","10390","63","242","false","249492120","false","false","false","","153","Bob Danielson",,"false","https://pbs.twimg.com/profile_images/1209574545813725184/AAIRN_Ae_normal.jpg","","5584","https://twitter.com/CGBtennis","user","https://x.com/CGBtennis","CGBtennis","@z0mgItsHutch @MurkaDurkah It should also be noted it took 2 years of investigation into Nixon before he resigned. It's been 11 months since Mueller was appointed.","Sat Apr 07 23:53:36 +0000 2018"
"false","true","https://pbs.twimg.com/profile_banners/21521262/1581080491","Sat Feb 21 22:05:09 +0000 2009","“If you can’t fly then run, if you can’t run then walk, if you can’t walk then crawl, but whatever you do you have to keep moving forward.”",,,,,,,,,,,"0","4982","841","839","false","21521262","false","false","false","On the coast in Mass/Maine","239","Gail Gentile",,"false","https://pbs.twimg.com/profile_images/1225765927645597696/r-7vbANj_normal.jpg","","20523","https://twitter.com/gailgentile","user","https://x.com/gailgentile","gailgentile","@realDonaldTrump since there is “No Collusion” you should be meeting with Mueller ASAP to get this investigation over with, amirite?
#orangeface #hiding #purgery #jailtime #tightorangjumpsuit","Sat Apr 07 23:52:01 +0000 2018"
"false","true",,"Mon Sep 26 01:50:53 +0000 2016","",,,,,,,,,,,"0","125284","343","629","true","780223082812157952","false","false","false","California, USA","10","Sharon",,"false","https://pbs.twimg.com/profile_images/1474294834282184705/9gluHq5f_normal.jpg","","28761","https://twitter.com/ddaughter1","user","https://x.com/ddaughter1","ddaughter1","@realDonaldTrump Mueller has them for his investigation..see how that works?","Sat Apr 07 23:50:19 +0000 2018"
"false","true",,"Sat Apr 02 05:07:11 +0000 2016","Former sailor, manufacturing, library clerk (public and law).  Currently Retired.  Happily married.",,,,,,,,,,,"0","6470","443","15","false","716129830727786496","false","false","false","Living on the Globe","3883","Globalist",,"false","https://pbs.twimg.com/profile_images/716130633643331584/ts0BLDpj_normal.jpg","","44518","https://twitter.com/globalist13903","user","https://x.com/globalist13903","globalist13903","@realDonaldTrump What does the President have to hide?  Refusing to meet with the Mueller investigation.","Sat Apr 07 23:49:30 +0000 2018"
"true","true","https://pbs.twimg.com/profile_banners/2227231045/1506041766","Mon Dec 02 20:24:43 +0000 2013","Donald J. Trump, my President. MAGA.  Work for the forgotten man & woman.   Write under pen name, ""Little Tboca."" Take Back Our Country America.",,,,,,,,,,,"0","3763","2563","3578","true","2227231045","false","false","false","Scottsdale, AZ","59299","Marcia Wood",,"false","https://pbs.twimg.com/profile_images/910957524253155329/SRRVyqUU_normal.jpg","","84355","https://twitter.com/littletboca","user","https://x.com/littletboca","littletboca","#From NEWSMAX. #New documents show Mueller has moved to seize Manafort’s accounts at three different banks.

“Mueller investigation is heating up to a new level,” says Jerome Corsi, author of the #1 bestseller “Killing the Deep State.”

Corsi warns, “This will get ugly soon.”","Sat Apr 07 23:48:56 +0000 2018"
"false","true","https://pbs.twimg.com/profile_banners/143648351/1511714386","Fri May 14 01:38:42 +0000 2010","“Nothing can now be believed which is seen in a newspaper. Truth itself becomes suspicious by being put into that polluted vehicle."" Thomas Jefferson",,,,,,,,,,,"0","39679","145","688","false","143648351","false","false","false","","370","In Trump We Trust",,"false","https://pbs.twimg.com/profile_images/934817509206716416/P_lJ821M_normal.jpg","","22189","https://twitter.com/HoyasJournalism","user","https://x.com/HoyasJournalism","HoyasJournalism","Mueller and his gangsters will end in JAIL for their CONSPIRACY against the UNITED STATES, and its duly elected @POTUS, not only because ""Mueller has exhibited poor judgment by retaining partisan Democrats to steer an investigation fraught with bitter partisan politics"".🆘🔥💪😡 https://t.co/tKOwvhWHGy","Sat Apr 07 23:48:33 +0000 2018"
"false","false","https://pbs.twimg.com/profile_banners/794204167/1672798705","Fri Aug 31 16:28:27 +0000 2012","I love animals because they are smarter then some of these so called “humans” 😸🐶",,,,,,,,,,,"0","115954","572","581","false","794204167","false","false","false","California, USA","2463","THE NOTORIOUS RLL ( Straight outta Culver City)",,"false","https://pbs.twimg.com/profile_images/1610460600559374336/tz4DKDRg_normal.jpg","","32545","https://twitter.com/rhondaleelilly","user","https://x.com/rhondaleelilly","rhondaleelilly","@The_UnSilent_ Didnt they have a fire before...right when the Mueller investigation started? Or am I mistaken?","Sat Apr 07 23:47:47 +0000 2018"
"true","true","https://pbs.twimg.com/profile_banners/44150295/1671050984","Tue Jun 02 16:28:01 +0000 2009","Retired Grandmother.   Married living the best life.",,,,,,,,,,,"0","21330","194","649","true","44150295","false","false","false","Michigan","452","Cheryl Jarema","1603080326833733633","false","https://pbs.twimg.com/profile_images/1603167565685080066/uQN1utJI_normal.jpg","","11642","https://twitter.com/logansgram","user","https://x.com/logansgram","logansgram","@realDonaldTrump Because it would conflict with the Mueller investigation.    Cannot let the cat out of the bag early.    It is called ethically correct.","Sat Apr 07 23:47:26 +0000 2018"
"false","false","https://pbs.twimg.com/profile_banners/823599994099765248/1519627504","Mon Jan 23 18:35:15 +0000 2017","There must be accountability! VoteBlue! #NoJusticeNoPeace #BlackLivesMatter #GunReform Followed by Glen Kirshner & Former Obama Advisor Desert Storm Veteran",,,,,,,,,,,"0","18784","2860","3872","true","823599994099765248","false","false","false","Ojai, CA","670","lil'dragonfly","1267491934181814272","false","https://pbs.twimg.com/profile_images/998400436729085954/LauR8_3m_normal.jpg","","34260","https://twitter.com/Lil_Dragonfly_7","user","https://x.com/Lil_Dragonfly_7","Lil_Dragonfly_7","@realDonaldTrump The question is what do YOU have to hide? You've done everything but back flips to try to stop or discredit this investigation? We trust the FBI &amp; DOJ. They're going to expose your secrets. No doubt they've had your tax returns for months. Following the money. It's Mueller time.","Sat Apr 07 23:46:05 +0000 2018"
