"author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/description/urls/1/display_url","author/entities/description/urls/1/expanded_url","author/entities/description/urls/1/indices/0","author/entities/description/urls/1/indices/1","author/entities/description/urls/1/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","text","createdAt"
"false","true","https://pbs.twimg.com/profile_banners/420468980/1732237368","Thu Nov 24 17:28:18 +0000 2011","",,,,,,,,,,,,,,,,"0","509","389","4632","false","420468980","false","false","false","Silver Spring, MD","22473","Selena Robinson",,"false","https://pbs.twimg.com/profile_images/596052809411268608/L7L3Vaed_normal.jpg","","78458","https://twitter.com/SelenaRobinson3","user","https://x.com/SelenaRobinson3","SelenaRobinson3","Former FBI Director Robert Mueller did not know a 22 year old drug dealer began working on my campus during an active federal investigation https://t.co/Y78WWEKtmr","Mon Apr 24 14:10:51 +0000 2017"
"false","true","https://pbs.twimg.com/profile_banners/420468980/1732237368","Thu Nov 24 17:28:18 +0000 2011","",,,,,,,,,,,,,,,,"0","509","389","4632","false","420468980","false","false","false","Silver Spring, MD","22473","Selena Robinson",,"false","https://pbs.twimg.com/profile_images/596052809411268608/L7L3Vaed_normal.jpg","","78458","https://twitter.com/SelenaRobinson3","user","https://x.com/SelenaRobinson3","SelenaRobinson3","FBI Director Mueller did not know there was a federal investigation in progress @ the College before I was rehired at the college in FEB '00 https://t.co/uGcWQD5Ljz","Mon Apr 24 14:02:22 +0000 2017"
"false","true","https://pbs.twimg.com/profile_banners/764542464824864768/1471118666","Sat Aug 13 19:21:43 +0000 2016","Government & Politics",,,,,,,,,,,,,,,,"0","120","11","64","false","764542464824864768","false","false","false","Liberia","0","Rosalind Tonne Sneh","794270460489957382","false","https://pbs.twimg.com/profile_images/764553299953610757/w3R8rSje_normal.jpg","","108","https://twitter.com/Rosalindsneh456","user","https://x.com/Rosalindsneh456","Rosalindsneh456","@NBCNews what America is delaying with this investigation to get whole truth about Trump's connection in this Russia interfer. sure TAXRTUTN","Mon Apr 24 23:56:26 +0000 2017"
"false","true","https://pbs.twimg.com/profile_banners/3288349349/1653424308","Mon May 18 12:48:46 +0000 2015","she/her Boston girl, with only a little bit of the accent left. Trying to make a difference one tweet at a time. Realtor, Stager, Interior Design.  #TrueBlue",,,,,,,,,,,,,,,,"0","66037","737","1232","true","3288349349","false","false","false","Massachusetts, USA","120","WalkingWithPurpose",,"false","https://pbs.twimg.com/profile_images/1535939946380394497/QiWb0k37_normal.jpg","","57942","https://twitter.com/jtlambert2014","user","https://x.com/jtlambert2014","jtlambert2014","@SenatorBurr what about the Trump Russia investigation sir?  The American people need you to do your job here.  Now.","Mon Apr 24 23:49:56 +0000 2017"
"false","false","https://pbs.twimg.com/profile_banners/2976183585/1615244786","Tue Jan 13 11:13:32 +0000 2015","",,,,,,,,,,,,,,,,"0","233413","27582","4009","true","2976183585","false","false","false","Cyclades","3366","≡l≡v≡nth",,"false","https://pbs.twimg.com/profile_images/1342123805985157121/veIJqrYu_normal.jpg","","106237","https://twitter.com/3L3V3NTH","user","https://x.com/3L3V3NTH","3L3V3NTH","Hey,

@RepAdamSchiff @SenSanders @SenJohnMcCain 

How many RT's for a real investigation into Trump/Russia?","Mon Apr 24 23:48:38 +0000 2017"
"false","false",,"Sat Jul 30 22:32:19 +0000 2016","I do not support trump. Animal lover. I enjoy a good game of tennis every now and then. Please don't put me on any list. I still believe in HRC!!",,,,,,,,,,,,,,,,"0","10308","202","92","false","759517001899532288","false","false","false","","9","Joyce🇫🇷🇩🇰",,"false","https://pbs.twimg.com/profile_images/763615483610427392/ltMmluPY_normal.jpg","","4276","https://twitter.com/Paracat2","user","https://x.com/Paracat2","Paracat2","@SenatorBurr We need an independent investigation into trump/russia interference NOW. Do your flipping job","Mon Apr 24 23:46:21 +0000 2017"
"false","true","https://pbs.twimg.com/profile_banners/289118612/1611463502","Thu Apr 28 01:56:15 +0000 2011","Tomthunkit's Mind Diner is open 24/7. All-you-can-eat smorgasbord of hand-picked deliciously sweet tweets for your political palate. Invest ($) in your future",,,,,,,,,,,"gofund.me/f87dee82","https://gofund.me/f87dee82","0","23","https://t.co/9hCbcig3Ri","0","31137","82553","60914","true","289118612","true","false","false","In Your Mind Now","3121081","Tomthunkit™","1852345066439995428","false","https://pbs.twimg.com/profile_images/1621261829417717760/hOeHkGJk_normal.jpg","","3557450","https://twitter.com/TomthunkitsMind","user","https://x.com/TomthunkitsMind","TomthunkitsMind","The Useful Idiot Is No Longer Useful To trump. Therefore, Devin Nunes Steps Aside From House Investigation on Russia https://t.co/WDKF4AYJBD https://t.co/jVViVnlYBN","Mon Apr 24 23:46:17 +0000 2017"
"false","true",,"Mon Jan 10 16:57:19 +0000 2011","",,,,,,,,,,,,,,,,"0","40973","418","820","true","236460191","false","false","false","United States","195","Gregory Grig-Lahti",,"false","https://pbs.twimg.com/profile_images/850928694600359936/TT9fwPMA_normal.jpg","","28022","https://twitter.com/Grigarauskas","user","https://x.com/Grigarauskas","Grigarauskas","@SenatorBurr Senator Burr you must recuse yourself from the trump/Russia investigation American people demand it &amp; want a fair investigation","Mon Apr 24 23:45:42 +0000 2017"
"false","true","https://pbs.twimg.com/profile_banners/494694557/1440810475","Fri Feb 17 05:01:40 +0000 2012","love the fam and love to party just as much....motto is live for today!!!!!---no regrets #butterflyeskimosmack",,,,,,,,,,,,,,,,"0","117","19","40","false","494694557","false","false","false","","9","Tracia",,"false","https://pbs.twimg.com/profile_images/637431272512466944/g3n_3Pwz_normal.jpg","","111","https://twitter.com/TracyHolsclaw","user","https://x.com/TracyHolsclaw","TracyHolsclaw","Senate investigation into Trump and Russia stalls https://t.co/pBzLAtP8l7","Mon Apr 24 23:43:11 +0000 2017"
"false","true","https://pbs.twimg.com/profile_banners/829137728277270530/1507521473","Wed Feb 08 01:20:13 +0000 2017","progressive, Navy veteran, college graduate",,,,,,,,,,,,,,,,"0","64662","293","597","true","829137728277270530","false","false","false","North Carolina, USA","283","Eve",,"false","https://pbs.twimg.com/profile_images/1097554952564731904/CH4tAMvj_normal.jpg","","8612","https://twitter.com/eveinthesky","user","https://x.com/eveinthesky","eveinthesky","Is Richard Burr Tanking the Trump-Russia Investigation? @SenatorBurr @NC_Governor @NCDemParty @NCForBernie  https://t.co/eTdzJOs77M","Mon Apr 24 23:42:02 +0000 2017"
