"author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","text","createdAt"
"true","true",,"Mon Oct 10 11:03:54 +0000 2016","",,,,,,,,,,,"0","5","8","19","false","785435683913687040","false","false","false","New York, NY","1","Manuel Gold",,"false","https://pbs.twimg.com/profile_images/970712766708363264/glKpJlXB_normal.jpg","","627","https://twitter.com/ManuelMGold","user","https://x.com/ManuelMGold","ManuelMGold","@AriMelber Trump fired Comey because he feared exactly this, that the investigation would lead to exposure of his financial dealings with Russia in the past and his hope for future financial dealings.","Fri Mar 02 23:28:19 +0000 2018"
"false","true",,"Fri Sep 16 15:01:41 +0000 2016","",,,,,,,,,,,"0","1349","34","333","true","776798213504430081","false","false","false","","106","Chgo61",,"false","https://pbs.twimg.com/profile_images/806510709324599296/hmJ0sxMr_normal.jpg","","4703","https://twitter.com/chgo61","user","https://x.com/chgo61","chgo61","The Russian investigation is bigger than anybody thought it was going to be , Russia in bed with the NRA , traitor Trump and his shit family , the GOP , Bernie Sanders what the hell is going on here ?","Fri Mar 02 23:22:30 +0000 2018"
"true","false",,"Tue Jun 03 22:30:50 +0000 2008","LA Observed on BlueSky and Mastodon",,,,,,,,,,,"0","469","21573","1045","false","14998358","false","false","false","","1206","Gone to BlueSky",,"false","https://pbs.twimg.com/profile_images/633119079331565568/KxBvmvwK_normal.png","","59653","https://twitter.com/LAObserved","user","https://x.com/LAObserved","LAObserved","""Mr. Trump is isolated and angry, as well...as he carries on a bitter feud with his AG and watches members of his family clash with his chief of staff...all against the darkening shadow of an investigation of his ties to Russia."" https://t.co/joHCluAz1c","Fri Mar 02 23:17:12 +0000 2018"
"false","false","https://pbs.twimg.com/profile_banners/25332216/1645730328","Thu Mar 19 16:35:01 +0000 2009","#IStandWithUkraine 🇺🇦
WOKE, happy, healthy atheist. She/Her/Hers. A proud member of the #resistance. DON'T FEED THE TROLLS!!! 
☮️&💜=✊🏿✊🏽✊🏼✊🏾✊🏳️‍🌈🇺🇸🌊",,,,,,,,,,,"0","153034","9065","6240","true","25332216","false","false","false","Planet Earth 🌏","10617","Cheryl",,"false","https://pbs.twimg.com/profile_images/1496927607673147393/b8Hu7XGo_normal.jpg","","326424","https://twitter.com/chuerta1","user","https://x.com/chuerta1","chuerta1","@McFaul Perhaps there's no response because Putin and Trump are playing us to distract from the Russia investigation. It's possible. Could be smoke and mirrors to convince us that's there's no there there.","Fri Mar 02 23:13:48 +0000 2018"
"false","true","https://pbs.twimg.com/profile_banners/715069635570216965/1594548284","Wed Mar 30 06:54:21 +0000 2016","#MAGA Trump is fighting against the globalists that are trying to take away our freedoms. I join Trump in fighting globalists anyway I can. #Trump2024",,,,,,,,,,,"0","15673","4909","5037","false","715069635570216965","false","false","false","","236","Blackman4Trump",,"false","https://pbs.twimg.com/profile_images/1282250425903673344/wtKqtJRu_normal.jpg","","6146","https://twitter.com/Blackman4Trump2","user","https://x.com/Blackman4Trump2","Blackman4Trump2","For everyone that wants to actually learn the facts about what is going on with the Russia investigation. This is one of the best synopsis I have heard. https://t.co/8NT5VzgyWX","Fri Mar 02 23:09:29 +0000 2018"
"false","false","https://pbs.twimg.com/profile_banners/572912121/1731514844","Sun May 06 17:16:15 +0000 2012","Greek Ghost",,,,,,,,,,,"0","9708","1259","958","true","572912121","false","false","false","Hoppvlle. ","5125","Eidolon","1582562068686774272","false","https://pbs.twimg.com/profile_images/1856733824853422084/E62CBcpd_normal.jpg","","29743","https://twitter.com/banquo2017","user","https://x.com/banquo2017","banquo2017","@AMike4761 Donald Trump: “Russia is a hoax.”

Mueller Probe:
— 75 Charges Filed

— 13 Russians Charged

— 4 Trump Advisers Charged

— 3 Trump Advisers Pled Guilty

— 3 Trump Advisers Cooperating

— 1 Fake President Under investigation for conspiracy to steal an election aided by Russia","Fri Mar 02 22:56:35 +0000 2018"
"true","true",,"Tue Apr 19 04:04:22 +0000 2011","academic physician & teacher. Conservative. The Constitution. Opinions are my own but you are welcome to embrace them. Enjoy life, cherish our freedoms",,,,,,,,,,,"0","10803","366","1308","true","284355394","false","false","false","Los Angeles","88","Robert Klein",,"false","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","","52125","https://twitter.com/rak1711","user","https://x.com/rak1711","rak1711","@Circa @JudicialWatch McCabe mishandled the HRC-FBI investigation and the Trump Russia/Steele Dosier investigation. The real question:
who told McCabe to do what he did? Loretta Lynch, Valerie Jarritt, Barak Obama?...","Fri Mar 02 22:46:20 +0000 2018"
"false","true","https://pbs.twimg.com/profile_banners/135674413/1480543760","Thu Apr 22 00:06:04 +0000 2010","California Democrat exposing the idiots who belong to the MAGA cult.  FUCK TRUMP AND FUCK YOU IF YOU VOTED FOR HIM.  You're welcome.",,,,,,,,,,,"0","29445","3306","3054","false","135674413","false","false","false","The California Republic","4590","Stephen Xian 关你屁事",,"false","https://pbs.twimg.com/profile_images/873257732639309824/eH7lmVS__normal.jpg","","42595","https://twitter.com/stephenxian","user","https://x.com/stephenxian","stephenxian","@CODYMACSTEWART @FMoniteau This is no more a witch hunt than any other criminal investigation.  The goal isn't to indict Trump, but to indict those who may have colluded with Russia or committed crimes.  If Trump is clean, he has nothing to worry about.","Fri Mar 02 22:22:26 +0000 2018"
"false","false",,"Fri Jan 05 16:20:55 +0000 2018","JESUS is the One and Only Savior for mankind! Christ follower, Pro Life, Pro 2nd A, Patriot, Tea Party Conservative and Retired RR Locomotive Engineer🙏🏼📖🇺🇸",,,,,,,,,,,"0","16474","117","14","true","949314777293250560","false","false","false","Derby, KS","2","RandyCStruble",,"false","https://pbs.twimg.com/profile_images/954423699310104577/ws1YD6g3_normal.jpg","","2722","https://twitter.com/RandyCStruble1","user","https://x.com/RandyCStruble1","RandyCStruble1","@TheFive The Russia Interference or the Russia-Trump collusion from what we know did not kill anyone. But Hillary’s blunder of Benghazi took four American lives and as her investigation continues more people keep turning up dead? @greggutfeld","Fri Mar 02 22:21:05 +0000 2018"
"true","true",,"Mon Nov 16 15:19:30 +0000 2015","FmlyDrMontoyaYFlorez:WrkLPasteur+Carlos RstpoPrdntCol
NitoRestrepo:Dipmcy+CvntsLitPrz
FelixRtrpo:Gov/Edu/Slves
DonJose Rtpo:WrkBolivar20yrs+ScnceW/AvHumboldt",,,,,,,,,,,"0","20916","317","2812","true","4257941533","false","false","false","Colombia","3348","Jorge Restrepo M y F",,"false","https://pbs.twimg.com/profile_images/669223730292264960/8Kv4MbwB_normal.jpg","","11453","https://twitter.com/zancudomine","user","https://x.com/zancudomine","zancudomine","Trump-Russia investigation:
The key questions answered
(The Guardian, UK)
https://t.co/f0fgCFndM7","Fri Mar 02 22:19:41 +0000 2018"
"false","true","https://pbs.twimg.com/profile_banners/1193964072/1593288747","Mon Feb 18 17:02:58 +0000 2013","Author of ""Democracy for the rest of us. A strategy guide to transform the US plutocracy into a democracy.""",,,,,,"store.bookbaby.com/bookshop/book/…","https://store.bookbaby.com/bookshop/book/index.aspx?bookURL=Democracy-for-the-rest-of-us","0","23","https://t.co/rTt6a6NkPq","0","20","19","32","false","1193964072","false","false","false","Boston, MA","360","perry krasow",,"false","https://pbs.twimg.com/profile_images/1276971672457949184/IHSuc5k5_normal.jpg","","3893","https://twitter.com/perrykrasow","user","https://x.com/perrykrasow","perrykrasow","FactCheckorg:  “President Donald Trump falsely claimed that he ‘never said Russia did not meddle in the election.'” @ https://t.co/jzz80vOkWA

#news #donaldtrump #russia #investigation #politics #robertmueller #blog #collusion #usa #evidence #obstruction #mainstream #putin #troll","Fri Mar 02 22:10:02 +0000 2018"
"true","true","https://pbs.twimg.com/profile_banners/15136857/1503844292","Mon Jun 16 18:17:35 +0000 2008","Current events, politics, opinion 🇺🇸",,,,,,,,,,,"0","57218","15702","15424","true","15136857","false","false","false","United States","938","Linda Wyatt","1669543239169486848","false","https://pbs.twimg.com/profile_images/1408664730/DSC01098ab_reasonably_small_normal.jpg","","33974","https://twitter.com/LindaWyatt","user","https://x.com/LindaWyatt","LindaWyatt","@BrianOC40133030 Follow my thread, watch congressional hearings, check w credible legal source w docs like https://t.co/V7EUJ7tz9S. There is an investigation. But your comrade came raving something about Trump Russia LOL! Also see the Dore Bonney video pinned on my feed.","Fri Mar 02 22:07:14 +0000 2018"
"false","false","https://pbs.twimg.com/profile_banners/291874773/1650985445","Mon May 02 19:10:57 +0000 2011","#GodIsGood🙏🏼#Christian✝️
#Conservative #AmericaFirst #MAGA #NoDMs❌
 Married, Mom x 2, Nanny x 5.",,,,,,,,,,,"0","727916","52938","35722","true","291874773","true","false","false","United States","17577","🇺🇸🌸Pink Lady 4 Trump🌸🇺🇸","1739065633839399391","false","https://pbs.twimg.com/profile_images/1857482868211027968/sijnLItX_normal.jpg","","320539","https://twitter.com/pink_lady56","user","https://x.com/pink_lady56","pink_lady56","HUGE kudos to @CondoleezzaRice for telling @RepAdamSchiff in regards to the Russia investigation it's time to ""Wrap It Up and let our Country get back to business!""","Fri Mar 02 22:02:55 +0000 2018"
