"author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/description/urls/1/display_url","author/entities/description/urls/1/expanded_url","author/entities/description/urls/1/indices/0","author/entities/description/urls/1/indices/1","author/entities/description/urls/1/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","text","createdAt"
"false","true","https://pbs.twimg.com/profile_banners/892278998/1466480775","Sat Oct 20 02:19:43 +0000 2012","A proud Canadian and a proud Conservative.",,,,,,,,,,,,,,,,"0","105381","1202","485","false","892278998","false","false","false","","364","Lisa",,"false","https://pbs.twimg.com/profile_images/1621448645689364480/TFR5ZEsp_normal.jpg","","91429","https://twitter.com/YoungStreete","user","https://x.com/YoungStreete","YoungStreete","@DineshDSouza What?  When did Trump state that he released memo to undermine the Mueller investigation?  That sentiment is totally owned by the Dems and the Left.","Sun Feb 04 23:59:26 +0000 2018"
"true","true",,"Fri Mar 17 20:14:33 +0000 2017","GGMa -We are all connected energetically and only living in the frequency of love will redeem us here on earth. Every moment, a beginning! #MAGA",,,,,,,,,,,,,,,,"0","18517","1373","2308","true","842831542271451136","false","false","false","Arizona, USA","62","❌JETK U.S.Constitution❌",,"false","https://pbs.twimg.com/profile_images/989956050487951360/jc7u2Ii1_normal.jpg","","11153","https://twitter.com/jet_kahl","user","https://x.com/jet_kahl","jet_kahl","@DeanMSimmons @EricHolder @Nitemists We are probably at over $6 million on the Mueller investigation which has produced nothing of substance. But I’m all for him finishing And coming out with his findings. Transparency!","Sun Feb 04 23:58:40 +0000 2018"
"false","false","https://pbs.twimg.com/profile_banners/24417059/1485379491","Sat Mar 14 19:34:57 +0000 2009","I laugh that I may not weep.    @lilybelle05.bsky.social",,,,,,,,,,,,,,,,"0","342872","1562","4972","true","24417059","false","false","false","Chateau Dusty","1405","Amy Mullen 🇺🇦","1812968470654689604","false","https://pbs.twimg.com/profile_images/824367645969514500/StO5Rq8X_normal.jpg","","245741","https://twitter.com/LilyBelle05","user","https://x.com/LilyBelle05","LilyBelle05","@kylegriffin1 @Kat4Obama DT seems like he's desperate for war. If he can't fire Mueller or slow down the investigation by firing Rosenstein, he has to do something to keep his aides and family from being indicted and his being impeached. He doesn't care how many lives will be lost, as long as he ""wins.""","Sun Feb 04 23:57:59 +0000 2018"
"false","true",,"Sun Dec 18 05:53:18 +0000 2016","The Trumpists in my party are demanding that we reject the evidence of our eyes and ears... ...and replace it with a belief in Trump's infallibility.",,,,,,,,,,,,,,,,"0","361497","668","584","true","810362279896240128","false","false","false","Utah, USA","150","Brandon Nelson 🇺🇸🇺🇦","1643388139887800321","false","https://pbs.twimg.com/profile_images/810371367421886464/cMBnKWiF_normal.jpg","","60906","https://twitter.com/Article_1_fan","user","https://x.com/Article_1_fan","Article_1_fan","@MarkSimoneNY @notarusskie Gowdy: this memo doesn’t affect the Mueller investigation in any way, which must go forward.","Sun Feb 04 23:55:35 +0000 2018"
"false","true",,"Sun Sep 11 14:56:26 +0000 2016","",,,,,,,,,,,,,,,,"0","19290","528","867","false","774984955382341632","false","false","false","United States","99","just me",,"false","https://pbs.twimg.com/profile_images/1566895277520424961/_eN8TncJ_normal.jpg","","18764","https://twitter.com/jill731982","user","https://x.com/jill731982","jill731982","@Thomas1774Paine If Mueller has any integrity. Mueller would end this investigation, without being asked or fired.  But, I have no faith in his integrity or his honesty. 
#MuellerDoTheRight
#EndThisWitchHunt","Sun Feb 04 23:54:59 +0000 2018"
"false","true",,"Tue Feb 21 01:20:43 +0000 2012","60's Flower Child. I believe in truth justice and ethics. I love people, science and technology. I hope I contribute positive tweets to all🐶",,,,,,,,,,,,,,,,"0","43863","1209","1949","true","498412420","false","false","false","","385","marva smith","1315867421572427776","false","https://pbs.twimg.com/profile_images/990653779941801984/dKo-pBio_normal.jpg","","64375","https://twitter.com/watsupwitthatms","user","https://x.com/watsupwitthatms","watsupwitthatms","@JoeNBC America knows truth. Trump is only a fleeting moment. Nothing he does via tweets are rational since Mueller investigation began closing in on Russia &amp; their interference with our political process. I am in hopes all assisting Russia are hauled off to prison.  So treasonous. Sad","Sun Feb 04 23:54:30 +0000 2018"
"false","true","https://pbs.twimg.com/profile_banners/702998694015143936/1588988660","Thu Feb 25 23:28:44 +0000 2016","Love God & Country, mom of 2 wonderful sons, wonderful husband of 50 years, 2 wonderful granddaughters, Conservative,  Republican, Law Enforcement family",,,,,,,,,,,,,,,,"0","285","635","1057","true","702998694015143936","false","false","false","SC","118","Sharon A. Hutchins",,"false","https://pbs.twimg.com/profile_images/1016896019068436481/1rQwOgop_normal.jpg","","16183","https://twitter.com/Sah4245A","user","https://x.com/Sah4245A","Sah4245A","Gowdy Disagrees With Trump: FISA Memo Does Not 'In Any Way' Discredit Mueller Investigation https://t.co/48NKtdB4ox","Sun Feb 04 23:54:20 +0000 2018"
"true","false","https://pbs.twimg.com/profile_banners/848562047361191938/1722357605","Sun Apr 02 15:45:32 +0000 2017","〽️ichidander 💙💙Wolverines. #I❤️my Grandbabies ❤️ Cat Mama of 3 🐈 #Harris/Walz2024💙💙 @morganblue on Blue Sky",,,,,,,,,,,,,,,,"0","22334","11222","11334","true","848562047361191938","false","false","false","Royal Oak, MI","2186","〽️_Morgan_Blue 🦋🦋🌊",,"false","https://pbs.twimg.com/profile_images/1781482124672933888/AI0Z0Oum_normal.jpg","","40958","https://twitter.com/memmy1516","user","https://x.com/memmy1516","memmy1516","@KevinJTurner2 @Decreevy @yukon1973 @daddog1969 @realDonaldTrump This seriously is just stupid thinking. Take a look at history dude.  Clinton- took 3 years to impeach. Nixon- took 2 years for him to be investigated, then he resigned. 6 months of Mueller investigation doesn’t prove there is nothing.  Takes time and trump will go down!!","Sun Feb 04 23:52:14 +0000 2018"
"false","false","https://pbs.twimg.com/profile_banners/291336460/1674338497","Sun May 01 20:47:48 +0000 2011","Canadian. Geopolitical passion. Share fact based views in serious, at times entertaining way. | Same handle on Post, Spoutible & Mastodon | Blue Sky",,,,,,,,,,,"blogoverview.com/politicus-usa","https://blogoverview.com/politicus-usa","0","23","https://t.co/zPO3Rq73Zu","0","549184","6801","7609","true","291336460","false","false","false","Toronto, Canada","86535","Paul Stewart II","1860377247883853866","false","https://pbs.twimg.com/profile_images/1637603990383804418/ByZR77Ey_normal.jpg","","900637","https://twitter.com/PaulStewartII","user","https://x.com/PaulStewartII","PaulStewartII","“Trump reportedly has a two-track strategy for Mueller: either he will be let off with no charges, or he will discredit the investigation and the FBI without removing Mueller and ask Sessions to prosecute him and his team.”","Sun Feb 04 23:51:50 +0000 2018"
"false","false","https://pbs.twimg.com/profile_banners/201931078/1532220690","Tue Oct 12 23:16:38 +0000 2010","US Army Retired.Des.Storm&Shield conservative,proud member of PRES. TRUMPS PATRIOT PARTY #Trump2020 MOLON LABE,#MAGA #GOPisDeadToMe",,,,,,,,,,,,,,,,"0","6615","1011","1575","true","201931078","false","false","false","USA ","254","FuckJoeBidensCaliphate",,"false","https://pbs.twimg.com/profile_images/1344061002502037517/H2q4eIIY_normal.jpg","","8404","https://twitter.com/desert1vet","user","https://x.com/desert1vet","desert1vet","@POTUS we the people are tired of our tax $$$ paying 4 a fake investigation of Russian delusion all 4 @DNC &amp;Obama corruption  FIRE MUELLER","Sun Feb 04 23:49:20 +0000 2018"
"false","false","https://pbs.twimg.com/profile_banners/384303277/1605294090","Mon Oct 03 13:03:36 +0000 2011","RESIST “Forewarned is forearmed”, we can’t afford to bury our heads in the sand. #VoteBlueNoMatterWho Married No DM’s",,,,,,,,,,,,,,,,"0","45211","4128","4130","true","384303277","false","false","false","Florida","869","Sherrie Kaw",,"false","https://pbs.twimg.com/profile_images/974472111455703040/eq5Y5OXH_normal.jpg","","34725","https://twitter.com/89wunderlust","user","https://x.com/89wunderlust","89wunderlust","@Forest_Lawn1937 @realeftypickit @chibearfan74_jr @yeahunoeme @riseup1moretime @JosueTeleman11 @debiowens @Lauremari2 @HenryGrey777 @gsfrktct @VixxieDeVille @JeffHar18906046 @TherealDex1 @scribblerbilly @LeifHanson7 @suzzysmiles2 @BonnieWashing14 @TXConservative5 @Wsbluelife @APGsMom @ChetPowell @Mary_Lee__ @jplatt812 @immigrantdfndr @GoodloveRev @nipperdawg @PoliticalSense1 @JoshuaR32824854 @LomahMore @kpu6600 @PWM62 The only hope we have, is Mueller and his investigation.","Sun Feb 04 23:49:17 +0000 2018"
"false","false","https://pbs.twimg.com/profile_banners/242475682/1506898165","Mon Jan 24 21:41:59 +0000 2011","Artist, writer and progressive in progress...",,,,,,,,,,,,,,,,"0","36551","301","2640","true","242475682","false","false","false","On the Left Coast of US","16098","Sandy Childs",,"false","https://pbs.twimg.com/profile_images/1224826796/1398_normal.jpg","","45025","https://twitter.com/FiddeldyTweet","user","https://x.com/FiddeldyTweet","FiddeldyTweet","@dbongino @DonaldJTrumpJr There's nothing in those memos.  Sycophant Nuñes and DJT created it.  Fake news. Grow up. They are diverting from investigation. Mueller is homing in on the racketeer in our WH.  Panic is setting in.  They are desperate to distract.  Sick. https://t.co/6iY4HzGRwK","Sun Feb 04 23:49:01 +0000 2018"
"false","true",,"Wed Jun 14 12:47:48 +0000 2017","MAGA😎",,,,,,,,,,,,,,,,"0","14362","230","170","false","874971634427408385","false","false","false","St Simons, GA","19","John & Evie Tomberlin",,"false","https://pbs.twimg.com/profile_images/1024283121494175744/5QkvdF6X_normal.jpg","","7455","https://twitter.com/EvelynTomberlin","user","https://x.com/EvelynTomberlin","EvelynTomberlin","@larryelder @realDonaldTrump Thank God for Muellers investigation if not the Democrats and Muellers help and has revealed who the true Collusioners are Democrats Mueller.","Sun Feb 04 23:47:07 +0000 2018"
"false","true","https://pbs.twimg.com/profile_banners/291903954/1670376375","Mon May 02 20:06:33 +0000 2011","Liberal, Atheist, USAF Vet, Lifelong NYer, Cancer Survivor.

If I'm not here, look for me at Post as WayneASchneider, and maybe at Tribel as Wayne Schneider.",,,,,,,,,,,,,,,,"0","92698","8909","9454","false","291903954","false","false","false","United States","538","Wayne A Schneider","1515537748169568256","false","https://pbs.twimg.com/profile_images/1581034389777125376/kxzBfOak_normal.jpg","","145001","https://twitter.com/WayneASchneider","user","https://x.com/WayneASchneider","WayneASchneider","@bmainzer That may be under a separate investigation, the results of which I'm sure will be shared with Mueller if it connects to his.","Sun Feb 04 23:44:00 +0000 2018"
"false","true","https://pbs.twimg.com/profile_banners/214256893/1403411871","Wed Nov 10 23:40:53 +0000 2010","¡Pa’ servirle aste', no leanque' le cueste más trabajo...!#HonremosYDefendamosElLegadoDeAMLO! #ApoyoALa1raPdtaConstitucionaldelosEEUUMM, et al #4T #WhomWaveIt…!",,,,,,,,,,,"fideiius.blogspot.com","http://fideiius.blogspot.com","0","23","https://t.co/if34JAShlm","0","62733","3014","4940","true","214256893","false","false","false","Municipio Sal Si Puedes","29364","Eligio Del Awiizotl",,"false","https://pbs.twimg.com/profile_images/960945413556723712/4Vctz03T_normal.jpg","","372416","https://twitter.com/EligioAwiizotl","user","https://x.com/EligioAwiizotl","EligioAwiizotl","Nunes' memo, McCabe's ouster, and Mueller's next move: Inside the most dramatic week of the Russia investigation - Business Insider https://t.co/pJGZO8pKDU","Sun Feb 04 23:39:12 +0000 2018"
"false","true","https://pbs.twimg.com/profile_banners/3371303518/1717804796","Sat Jul 11 20:12:55 +0000 2015","Retired public sector economist, political hobbyist, bad golfer, amateur humorist and BBQ enthusiast.",,,,,,,,,,,,,,,,"0","7799","330","772","true","3371303518","false","false","false","Ottawa, Ontario","54","E.W. Foster",,"false","https://pbs.twimg.com/profile_images/1799229793730269184/uXsD1--k_normal.jpg","","5034","https://twitter.com/ewfottawa","user","https://x.com/ewfottawa","ewfottawa","@SonofLiberty357 @keldoc405 I guess the same way loverboy Strzok, who reportedly commenced the FBI investigation based on Papalopolus’s (sic) drunken pub crawl in London with Ozzy diplomats (no contest), later joined Mueller’s team even though he knew “there’s no big there there”.","Sun Feb 04 23:38:47 +0000 2018"
