"author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/description/urls/1/display_url","author/entities/description/urls/1/expanded_url","author/entities/description/urls/1/indices/0","author/entities/description/urls/1/indices/1","author/entities/description/urls/1/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","text","createdAt"
"false","true","https://pbs.twimg.com/profile_banners/992168528/1423879189","Thu Dec 06 01:38:45 +0000 2012","",,,,,,,,,,,,,,,,"0","26077","210","687","true","992168528","false","false","false","","74","Aymee",,"false","https://pbs.twimg.com/profile_images/823403174052687873/ZihXph9x_normal.jpg","","13089","https://twitter.com/hernanaym","user","https://x.com/hernanaym","hernanaym","Comey Wont Tell House Dems About Trump-Russia Investigation https://t.co/TwfyziUYl6 via @intelligencer @FBI @OfficeGovEthics @TheJusticeDept","Fri Jan 27 23:58:22 +0000 2017"
"false","true","https://pbs.twimg.com/profile_banners/992168528/1423879189","Thu Dec 06 01:38:45 +0000 2012","",,,,,,,,,,,,,,,,"0","26077","210","687","true","992168528","false","false","false","","74","Aymee",,"false","https://pbs.twimg.com/profile_images/823403174052687873/ZihXph9x_normal.jpg","","13089","https://twitter.com/hernanaym","user","https://x.com/hernanaym","hernanaym","James Comey can't be trusted with Trump-Russia investigation https://t.co/kNrIy7254E @OfficeGovEthics @JamesComeyFBI @FBI @CongressEthics","Fri Jan 27 23:57:17 +0000 2017"
"false","true",,"Sat Sep 28 03:32:55 +0000 2013","",,,,,,,,,,,,,,,,"0","944","4","67","false","1912956828","false","false","false","","0","joanne nania",,"false","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","","48","https://twitter.com/JCNNania","user","https://x.com/JCNNania","JCNNania","@danrather, can you push for a full investigation into Russia and keep the media from chasing Trump's fake distractions instead? We need you","Fri Jan 27 23:49:00 +0000 2017"
"true","false","https://pbs.twimg.com/profile_banners/839881578/1687196547","Sat Sep 22 14:49:29 +0000 2012","severe arthritic hands. lordie, I wish I could type better ! Trying for a better world for my grandchildren. please vote for Americans, not just the rich.",,,,,,,,,,,,,,,,"0","80209","3493","3529","true","839881578","false","false","false","Georgia","10106","VH",,"false","https://pbs.twimg.com/profile_images/1670849490310365184/kxpVj_sh_normal.jpg","","100553","https://twitter.com/vhnow","user","https://x.com/vhnow","vhnow","@washingtonpost deflecting from investigation w Russia/trump","Fri Jan 27 22:43:20 +0000 2017"
"false","true","https://pbs.twimg.com/profile_banners/18503647/1395525857","Wed Dec 31 10:01:30 +0000 2008","mnpACT is a progressive organization dedicated to promoting progressive ideals and electing progressive candidates. Tweets and blog written by Dave Mindeman.",,,,,,,,,,,"mnpoliticalroundtable.org","http://www.mnpoliticalroundtable.org","0","23","https://t.co/M1Ge85ONhf","0","199","1103","977","false","18503647","false","false","false","Apple Valley, MN","1254","Dave Mindeman",,"false","https://pbs.twimg.com/profile_images/447492793460469760/koDDBaIp_normal.png","","30860","https://twitter.com/newtbuster","user","https://x.com/newtbuster","newtbuster","#Trump If Trump lifts sanctions on Russia - then Chaffetz had better call for an immediate investigation. I believe in fairy dust, too.","Fri Jan 27 22:31:29 +0000 2017"
"true","false","https://pbs.twimg.com/profile_banners/23608092/1588277263","Tue Mar 10 15:55:56 +0000 2009","Liberal Dem. NO MAGA's  followed by @glennkirschner2 @FrankFigliuzzi1  Find me also on 
https://t.co/rY8zlqxWzV and on Threads @Sutton7523  NO DMS","lisatoddsutton.bsky.social","http://lisatoddsutton.bsky.social","88","111","https://t.co/rY8zlqxWzV",,,,,,,,,,,"0","71139","13395","14177","false","23608092","true","false","false","Occupied Florida","1870","LisaToddSutton 💙🌻",,"false","https://pbs.twimg.com/profile_images/1050620369629896706/CzON-Txo_normal.jpg","","269085","https://twitter.com/LisaToddSutton","user","https://x.com/LisaToddSutton","LisaToddSutton","Whatever happened to the investigation for collusion between Trump and Russia? @MSNBC @CNN @ABC @CBS","Fri Jan 27 21:59:03 +0000 2017"
"true","true","https://pbs.twimg.com/profile_banners/4902987301/1480736616","Sat Feb 13 17:47:04 +0000 2016","America will never be destroyed from the outside. If we falter and lose our freedoms, it will be because we destroyed ourselves. - Abraham Lincoln",,,,,,,,,,,,,,,,"0","38141","261","159","true","4902987301","false","false","false","Los Angeles, CA","244","Irene",,"false","https://pbs.twimg.com/profile_images/804895936744931328/IksQ_u8I_normal.jpg","","81092","https://twitter.com/IreneDifJen","user","https://x.com/IreneDifJen","IreneDifJen","Conflicts important, but still need full Investigation Trump Russia relationship. Pense &amp; appointments Russia influenced, Putin still won https://t.co/6qW5dSvtfv","Fri Jan 27 20:52:19 +0000 2017"
"true","false","https://pbs.twimg.com/profile_banners/15220768/1667334773","Tue Jun 24 15:58:28 +0000 2008","DC bureau chief of Mother Jones, MSNBC analyst. Best-selling author of ""American Psychosis."" Sign up for my newsletter ""Our Land"" at https://t.co/73HtPJKNLk.","davidcorn.com","http://davidcorn.com","133","156","https://t.co/73HtPJKNLk",,,,,,"motherjones.com","http://www.motherjones.com","0","23","https://t.co/Sc36kMXf67","0","746","892746","2118","true","15220768","true","false","false","Washington, DC","4410","David Corn","1567134886993035264","false","https://pbs.twimg.com/profile_images/431276795216678912/K9GgLuad_normal.png","","96839","https://twitter.com/DavidCornDC","user","https://x.com/DavidCornDC","DavidCornDC","McCain, I am told, remains very, very interested in the Senate intel. committee investigation of Trump-Russia ties. https://t.co/dmZ4O04dT7","Fri Jan 27 18:41:49 +0000 2017"
"true","false","https://pbs.twimg.com/profile_banners/50232724/1671082237","Wed Jun 24 06:17:26 +0000 2009","Private Investigation Agency in Ontario, Canada.",,,,,,,,,,,"morrisinvestigation.com","https://www.morrisinvestigation.com","0","23","https://t.co/0dopItmN0x","0","60307","311","1512","true","50232724","false","false","false","Orangeville, Ontario","634","M.I.A. Morris Investigation Agency",,"false","https://pbs.twimg.com/profile_images/1603261177496313859/17D1tq8M_normal.jpg","","5167","https://twitter.com/Jennymac_7","user","https://x.com/Jennymac_7","Jennymac_7","TRUMP: NATO is obsolete. If Russia attacks a NATO country, too bad!"" Theresa May, just now: ""He is 100% behind NATO"". Wait, what?!?!?","Fri Jan 27 18:18:43 +0000 2017"
"false","true",,"Sun Sep 01 09:44:28 +0000 2013","",,,,,,,,,,,,,,,,"0","7882","177","177","false","1718497862","false","false","false","Florida, USA","6","gb",,"false","https://pbs.twimg.com/profile_images/1159417660779782144/dYtVN9_-_normal.jpg","","14777","https://twitter.com/garybretthauer","user","https://x.com/garybretthauer","garybretthauer","@NewDay @RepKinzinger @CNN Trump illegitimacy is absolute fact. Any investigation will be tailored to fabricate his legitimacy which is zip. Russia made him president","Fri Jan 27 17:58:00 +0000 2017"
"true","false","https://pbs.twimg.com/profile_banners/15371468/1423086816","Wed Jul 09 22:57:35 +0000 2008","Alpine Yodeller, Alligator Wrestler & Professional Tricycle Racer | Proud UC Berkeley Alum | Blockchain in IoT | SF Giants | Cal Bears | Bourbon, neat.",,,,,,,,,,,"linkedin.com/profile/previe…","https://www.linkedin.com/profile/preview?locale=en_US&trk=prof-0-sb-preview-primary-button","0","23","https://t.co/aLf6cwtwjU","0","310967","4736","5112","true","15371468","false","false","false","Silicon Valley","10496","cgshort","1005332980221476864","false","https://pbs.twimg.com/profile_images/378800000745143666/531668ba0e125ad5ac830315e5ebaa4a_normal.jpeg","","129141","https://twitter.com/cgshort","user","https://x.com/cgshort","cgshort","1/2 If Trump immediately lifts sanctions on Russia without first completing an independent investigation into the Russian hack, we need to","Fri Jan 27 17:37:59 +0000 2017"
"false","false",,"Fri Nov 11 14:08:26 +0000 2016","Fearing radicalized white *Christians* far more than brown people. Loving my country and dreading the next four years.",,,,,,,,,,,,,,,,"0","71223","530","4646","true","797078532648267776","false","false","false","","51","Legal Ish",,"false","https://pbs.twimg.com/profile_images/970982121568337921/rx-1a85c_normal.jpg","","22251","https://twitter.com/wakemein2020","user","https://x.com/wakemein2020","wakemein2020","But while you're at it, what about Trump- Russia ties investigation? https://t.co/t5gRDiSysU","Fri Jan 27 17:15:28 +0000 2017"
"false","true","https://pbs.twimg.com/profile_banners/147368661/1427038163","Sun May 23 23:52:20 +0000 2010","ADD ME TO A LIST I BLOCK YOU",,,,,,,,,,,"etsy.com/shop/BonniesGr…","https://www.etsy.com/shop/BonniesGreatFinds?ref=si_shop","0","23","https://t.co/xPPbQLTQrE","0","203033","4810","5189","true","147368661","false","false","false","","80","Treasures Galore",,"false","https://pbs.twimg.com/profile_images/579665325635080192/GaIXpIdl_normal.jpg","","292288","https://twitter.com/bbonnie123","user","https://x.com/bbonnie123","bbonnie123","ATTEN: DAILY REMINDER INDEPENDENT INVESTIGATION RUSSIA HACKED OUR ELECTION TO ASSIST TRUMP ILLEGITIMATE INSTALLED BTW SPIES RUSSIA /US JAIL","Fri Jan 27 17:05:31 +0000 2017"
