"author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","author/verifiedType","text","createdAt"
"false","true",,"Thu Aug 02 21:55:26 +0000 2012","Politics teacher, father and husband. The strong do what they can and the weak suffer what they must.",,,,,,,,,,,"0","29858","17173","18527","true","733617661","false","false","false","Béal Feirste, Ireland","4184","CP MacLochlainn",,"false","https://pbs.twimg.com/profile_images/1711818673235640320/PwnwzBrQ_normal.jpg","","87907","https://twitter.com/CPMacL2008","user","https://x.com/CPMacL2008","CPMacL2008",,"""The US not only intervenes in elections, let's say in Russia for example, but is very proud of it. Clinton massively intervened in the 1996 election, in which Yeltsin - his favorite - was elected. It was considered a great triumph. It wasn't hidden"" - Chomsky","Fri Aug 03 13:40:12 +0000 2018"
"true","true","https://pbs.twimg.com/profile_banners/4393832953/1621390719","Sun Nov 29 01:02:44 +0000 2015","Candidate for Prime Minister of Canada 💃

I love to teach, sing, read, and cause trouble!",,,,,,,,,,,"0","336588","1175","1413","true","4393832953","false","false","false","","10756","KD",,"false","https://pbs.twimg.com/profile_images/1394839318984757251/zicSHVLr_normal.jpg","","53083","https://twitter.com/Kddid15","user","https://x.com/Kddid15","Kddid15",,"@StiffSharon @TranslatingFox @ByronYork Felix Sater is a cooperating witness in Mueller Investigation.
“Our boy can become president of the USA and we can engineer it,” Mr. Sater wrote in an email. “I will get all of Putins team to buy in on this, I will manage this process.""
https://t.co/L245SUDTX8","Fri Aug 03 23:59:25 +0000 2018"
"false","true","https://pbs.twimg.com/profile_banners/274170164/1639180890","Tue Mar 29 21:32:25 +0000 2011","I worked at Canada Post for years and now I'm retired. Interested in writing, Christianity, mysticism, good news, physical health and being a Prayerwarrior.",,,,,,"barronblog.com","http://www.barronblog.com","0","23","https://t.co/RIMX3PtmUI","0","6832","271","334","false","274170164","false","false","false","Brampton Ontario","9862","David Barron",,"false","https://pbs.twimg.com/profile_images/1469456543930322946/CVrKg2Kh_normal.jpg","","27947","https://twitter.com/DavidCBarron","user","https://x.com/DavidCBarron","DavidCBarron",,"Trump is under a great deal of pressure with the Mueller investigation, Trade Wars and, of course Putin. Everybody expects something from him.","Fri Aug 03 23:57:26 +0000 2018"
"true","false",,"Mon Jul 07 03:08:31 +0000 2014","",,,,,,,,,,,"0","91891","745","731","true","2608804058","true","false","false","McKinney, TX","38","Doug Roberts",,"false","https://pbs.twimg.com/profile_images/1236507409218224128/3MCGezDA_normal.jpg","","7397","https://twitter.com/DouglasIRoberts","user","https://x.com/DouglasIRoberts","DouglasIRoberts",,"@ATPacy @atljad @DRUDGE_REPORT Indeed, I doubt attune has anything to worry about. My concern is what Mueller’s “investigation” is done MH to the fabric of our nation. I think we citizens want to come back together. But he keeps us propped apart by carrying it on and on. Enough. Wrap it up!","Fri Aug 03 23:55:33 +0000 2018"
"false","true",,"Mon May 05 13:45:59 +0000 2014","I don't date on DM. Never goes well. I'm sorry. lot's of scammers on DM.  I'm a twit on twitter.",,,,,,,,,,,"0","155245","2388","4058","true","2478381612","false","false","false","Canada","9523","Lyla Joy Rose",,"false","https://pbs.twimg.com/profile_images/1030596103144501248/T60gsAEE_normal.jpg","","328593","https://twitter.com/LylajoyRose","user","https://x.com/LylajoyRose","LylajoyRose",,"@dbongino Call your representatives in congress and the senate and demand an end to the Mueller investigation.  Mueller isn't even investigating Obama for failure to do anything about Russian interference until after the election.","Fri Aug 03 23:55:20 +0000 2018"
"false","false","https://pbs.twimg.com/profile_banners/785303389047431168/1605097013","Mon Oct 10 02:18:13 +0000 2016","A tennis mom first, Political Junkie",,,,,,,,,,,"0","13508","226","476","true","785303389047431168","false","false","false","","65","L west",,"false","https://pbs.twimg.com/profile_images/785650921418084352/_TD93XiE_normal.jpg","","4682","https://twitter.com/Lwestmoreland17","user","https://x.com/Lwestmoreland17","Lwestmoreland17",,"@HardballChris why interview Amarosa? I don’t care what that opportunist has to say.  She enjoyed her money making opportunities with trump. Unless she has information for the Mueller investigation,  she has nothing to add and she will only be a distractor trying to make a $","Fri Aug 03 23:55:14 +0000 2018"
"false","true","https://pbs.twimg.com/profile_banners/857790655787151360/1502112605","Fri Apr 28 02:56:44 +0000 2017","Fighting to protect the results of the 2020 election as part of a coalition ready to mobilize if Donald Trump refuses to accept the outcome.",,,,,,"protecttheresults.com","https://protecttheresults.com/","0","23","https://t.co/OIv1ZM7Ifr","0","2428","26004","352","true","857790655787151360","false","false","false","United States","1111","#MarchForTruth","1360341752318726144","false","https://pbs.twimg.com/profile_images/890925283037126656/53eEQItg_normal.jpg","","7494","https://twitter.com/MarchForTruth17","user","https://x.com/MarchForTruth17","MarchForTruth17",,"Watch these Trump supporters outside his Pennsylvania rally express true concern over the revelations from the Mueller investigation and argue Mueller should be allowed to see things through, no matter how the ""cookie crumbles"":
https://t.co/AM3EYdMwgD","Fri Aug 03 23:54:51 +0000 2018"
"true","true","https://pbs.twimg.com/profile_banners/961097693027237890/1631761060","Wed Feb 07 04:42:01 +0000 2018","",,,,,,,,,,,"0","82423","1545","869","true","961097693027237890","false","false","false","","1635","Dale Cooper",,"false","https://pbs.twimg.com/profile_images/1325678122684047368/c_2f4k3l_normal.jpg","","149628","https://twitter.com/AgentCoopr702","user","https://x.com/AgentCoopr702","AgentCoopr702",,"@johncardillo @GingerMcQueen @drawandstrike From what I can tell, Mueller isn’t even involved in the investigation. He’s senile and hangs out in airports all day. Probably cruising. Prove me wrong!","Fri Aug 03 23:54:47 +0000 2018"
"true","false","https://pbs.twimg.com/profile_banners/898619415117176832/1503083047","Fri Aug 18 18:55:38 +0000 2017","“grow the fuck up” - bill nye",,,,,,,,,,,"0","6107","88","215","true","898619415117176832","false","false","false","Geneva, NY","444","Dillon Stark","990718894917726208","false","https://pbs.twimg.com/profile_images/1767676201986838528/F8l5a2Zo_normal.jpg","","5018","https://twitter.com/doctormac0","user","https://x.com/doctormac0","doctormac0",,"Just a reminder that this is the same ""news"" network that calls the mueller investigation a witch hunt every two seconds. https://t.co/IhwttWdsyN","Fri Aug 03 23:54:29 +0000 2018"
"true","false",,"Mon Jul 07 03:08:31 +0000 2014","",,,,,,,,,,,"0","91891","745","731","true","2608804058","true","false","false","McKinney, TX","38","Doug Roberts",,"false","https://pbs.twimg.com/profile_images/1236507409218224128/3MCGezDA_normal.jpg","","7397","https://twitter.com/DouglasIRoberts","user","https://x.com/DouglasIRoberts","DouglasIRoberts",,"@ATPacy @atljad @DRUDGE_REPORT The bottom has already been reached by other investigations. Mueller’s is completely redundant. Meuller wrapped up that part of his investigation with the Russian indictments including the declaration there were no witting accomplice citizens.","Fri Aug 03 23:53:27 +0000 2018"
