"author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/description/urls/1/display_url","author/entities/description/urls/1/expanded_url","author/entities/description/urls/1/indices/0","author/entities/description/urls/1/indices/1","author/entities/description/urls/1/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","author/verifiedType","text","createdAt"
"true","false","https://pbs.twimg.com/profile_banners/17167572/1436078332","Tue Nov 04 20:30:51 +0000 2008","Writer. My life changed forever on Black Tuesday 11/8/16. Now I #resist. 
  
#ImStillWithHer

Buy Me: https://t.co/7kXnDOp0Lh","goo.gl/1UEQsF","http://goo.gl/1UEQsF","102","125","https://t.co/7kXnDOp0Lh",,,,,,"about.me/frodofied","http://about.me/frodofied","0","23","https://t.co/KXWavD2MAV","0","165445","15161","2627","true","17167572","false","false","false","Chicago","2438","Robert Sandy","498381381731631104","false","https://pbs.twimg.com/profile_images/1211883466155012096/A5DmEnA-_normal.jpg","","164766","https://twitter.com/frodofied","user","https://x.com/frodofied","frodofied",,"Trump's numbers are now about what they were in the beginning.

Still only half of my fellow white folk think that Mueller's investigation has merit or should even be allowed to continue.

It's been nearly two nightmarish  years and they are still supporting him, proudly.

8/","Wed Jun 13 23:59:41 +0000 2018"
"false","true",,"Thu Apr 06 00:31:44 +0000 2017","Historically curious.
Historically hilarious.
Historically saddened.",,,,,,,,,,,,,,,,"0","47","9","86","false","849781633507000320","false","false","false","New York, Ny","66","Zarkarian","1270644260027670538","false","https://pbs.twimg.com/profile_images/853239000928268288/aHySD_3n_normal.jpg","","798","https://twitter.com/zarkarian0725","user","https://x.com/zarkarian0725","zarkarian0725",,"@HardballChris @Cirincione It's ""Donald Trump, 45th President: The Series"". He's right, the world's ""safe"". He knows that because, like Kim Jong Un, he's in on the fix. Don't forget, they have the same handlers. You forget what Mueller's investigation is about? #counterespionage","Wed Jun 13 23:59:00 +0000 2018"
"false","true",,"Thu Mar 19 21:48:31 +0000 2009","client for Circles Magazine",,,,,,,,,,,,,,,,"0","152232","4439","5000","false","25393191","false","false","false","Las Vegas, NV","21922","Derek Gendvil",,"false","https://pbs.twimg.com/profile_images/378800000297811451/e9f6f633e42bd8a11e530fb1eaf3a4ea_normal.png","","1410043","https://twitter.com/dgendvil","user","https://x.com/dgendvil","dgendvil",,"HBO's John Oliver Exposes the Horrifying Way Fox News' 'Sh*ttiest Conspiracy Theory' is Changing Minds on the Mueller Investigation @alternet https://t.co/iCAfBwN9O5","Wed Jun 13 23:57:27 +0000 2018"
"false","true","https://pbs.twimg.com/profile_banners/1090099826/1358198853","Mon Jan 14 20:38:48 +0000 2013","A political middle of the roader trying very hard not to steer too far to the left or right.",,,,,,,,,,,"about.me/johannwagener","https://about.me/johannwagener","0","23","https://t.co/o5nnLRm57j","0","783","386","1384","false","1090099826","false","false","false","PALM SPRINGS, CA","277","Johann Wagener","1230299114581086208","false","https://pbs.twimg.com/profile_images/3109526901/15a857a3f37542f9a1b8189c2374aee4_normal.jpeg","","33294","https://twitter.com/IAMINKCOGNITO","user","https://x.com/IAMINKCOGNITO","IAMINKCOGNITO",,"My answer to If Robert Mueller’s investigation’s findings show that Donald Trump did break the law, will Trump supporters finally stop defending him and stop blaming Obama and Hillary? Will they admit to making a mistake in electing Trump?... https://t.co/ZrIBPImAkp","Wed Jun 13 23:57:19 +0000 2018"
"false","true","https://pbs.twimg.com/profile_banners/1090099826/1358198853","Mon Jan 14 20:38:48 +0000 2013","A political middle of the roader trying very hard not to steer too far to the left or right.",,,,,,,,,,,"about.me/johannwagener","https://about.me/johannwagener","0","23","https://t.co/o5nnLRm57j","0","783","386","1384","false","1090099826","false","false","false","PALM SPRINGS, CA","277","Johann Wagener","1230299114581086208","false","https://pbs.twimg.com/profile_images/3109526901/15a857a3f37542f9a1b8189c2374aee4_normal.jpeg","","33294","https://twitter.com/IAMINKCOGNITO","user","https://x.com/IAMINKCOGNITO","IAMINKCOGNITO",,"My answer to If Robert Mueller’s investigation’s findings show that Donald Trump did break the law, will Trump supporters finally stop defending him and stop blaming Obama and Hillary? Will they admit to making a mistake in electing Trump? https://t.co/ZrIBPImAkp","Wed Jun 13 23:57:11 +0000 2018"
"false","true",,"Tue Apr 28 12:55:49 +0000 2015","Physician married to a RN, conservative, leans libertarian, limited government, limited taxes, support military and law enforcement.",,,,,,,,,,,,,,,,"0","95506","3966","5178","false","3178197002","true","false","false","California, USA","5438","Donald Ray Massee",,"false","https://pbs.twimg.com/profile_images/815683684082716672/bHegxK3D_normal.jpg","","169033","https://twitter.com/drmassee","user","https://x.com/drmassee","drmassee",,"Majority think it is bogus New poll shows voters divided on Trump, Mueller, and the Russia Investigation https://t.co/JGDvBA5B8c via @washtimes","Wed Jun 13 23:54:52 +0000 2018"
"false","true",,"Sat Oct 19 04:30:36 +0000 2013","Anonymous insider info, whistleblower haven, sources verified",,,,,,,,,,,,,,,,"0","678","30","186","true","1970352488","false","false","false","","533","Hispanics For Biden",,"false","https://pbs.twimg.com/profile_images/1009208510326792193/sAV7NhWn_normal.jpg","","2636","https://twitter.com/RonShannity","user","https://x.com/RonShannity","RonShannity",,"@BillOReilly @realDonaldTrump But the Mueller investigation is 23 indictments and 5 arrests ahead of that story.....","Wed Jun 13 23:54:01 +0000 2018"
"false","true","https://pbs.twimg.com/profile_banners/439439615/1530033604","Sat Dec 17 19:49:09 +0000 2011","",,,,,,,,,,,,,,,,"0","17431","1765","5264","true","439439615","false","false","false","","805","L a",,"false","https://pbs.twimg.com/profile_images/1011660484343422978/MNMqBy-N_normal.jpg","","206699","https://twitter.com/LatinoAgenda1","user","https://x.com/LatinoAgenda1","LatinoAgenda1",,"@GOP @realDonaldTrump Stand behind #POTUS and call for the end of the #Mueller #rosenstein investigation #maga","Wed Jun 13 23:53:05 +0000 2018"
"false","false","https://pbs.twimg.com/profile_banners/839554739591270401/1530998988","Wed Mar 08 19:13:42 +0000 2017","",,,,,,,,,,,,,,,,"0","9","4","84","false","839554739591270401","false","false","false","","17","Giuseppesforfreedom",,"false","https://pbs.twimg.com/profile_images/1015709326315380736/DnMgULrb_normal.jpg","","410","https://twitter.com/giusepperides","user","https://x.com/giusepperides","giusepperides",,"You people are pathetic.

 ⚡️ “What Michael Cohen's potential cooperation means for Robert Mueller's investigation”

https://t.co/tcuI5o28b1","Wed Jun 13 23:52:33 +0000 2018"
"false","true","https://pbs.twimg.com/profile_banners/2877324435/1611190647","Sat Nov 15 01:30:52 +0000 2014","Tax revenue should benefit the taxpayers. Retired RN. #M4A. #Liberal. #Voteblue",,,,,,,,,,,,,,,,"0","121051","3785","3739","true","2877324435","false","false","false","Florida, USA","1128","Kandid- Annie & Okey Rule. #BassetLife. 🚫DM’s","1613369431681339392","false","https://pbs.twimg.com/profile_images/1846659707756216320/g11rK_k0_normal.jpg","","44161","https://twitter.com/Kandid61Kandi","user","https://x.com/Kandid61Kandi","Kandid61Kandi",,"@thehill @KL04655767 And this is where we are.  Praying Mueller can finish his investigation and jail the entire administration.🙏","Wed Jun 13 23:49:36 +0000 2018"
