"author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","author/verifiedType","text","createdAt"
"true","true","https://pbs.twimg.com/profile_banners/829050811175096321/1498175517","Tue Feb 07 19:34:51 +0000 2017","Together We Will—Cincinnati & Southwest Ohio",,,,,,"0","247","177","148","false","829050811175096321","false","false","false","Ohio, USA","221","Together Cincy Will",,"false","https://pbs.twimg.com/profile_images/836776989151330305/I3rD3fep_normal.jpg","","696","https://twitter.com/TWWSWOH","user","https://x.com/TWWSWOH","TWWSWOH",,"#NEWS #RUSSIA 3 reasons for no investigation into Russian election meddling? We could distill it to one, I’m sure. https://t.co/AwEH5wHHS4","Sat Feb 18 23:39:24 +0000 2017"
"false","true","https://pbs.twimg.com/profile_banners/462992583/1470253428","Fri Jan 13 16:07:06 +0000 2012","Music music music.  Rock n' Roll.  Moon man.  Blues.  Idiot sounds. Bargain Basement Zen.  Guitar n' Vocals.",,,,,,"0","80","13","136","false","462992583","false","false","false","Rhode Island, USA","3","beavman","864861306695938049","false","https://pbs.twimg.com/profile_images/760919422496374784/pV6aYL2L_normal.jpg","","337","https://twitter.com/beavman11","user","https://x.com/beavman11","beavman11",,"@NopeNotByMe either you believe a foreign power was meddling in the election and are ok with it, or you don't think that ever happened","Sat Feb 18 22:49:59 +0000 2017"
"false","true","https://pbs.twimg.com/profile_banners/462992583/1470253428","Fri Jan 13 16:07:06 +0000 2012","Music music music.  Rock n' Roll.  Moon man.  Blues.  Idiot sounds. Bargain Basement Zen.  Guitar n' Vocals.",,,,,,"0","80","13","136","false","462992583","false","false","false","Rhode Island, USA","3","beavman","864861306695938049","false","https://pbs.twimg.com/profile_images/760919422496374784/pV6aYL2L_normal.jpg","","337","https://twitter.com/beavman11","user","https://x.com/beavman11","beavman11",,"@NopeNotByMe  unbelievable.  As if the Record of the Purim regime is nonexistent. As if they were not actively meddling in the election.","Sat Feb 18 22:42:39 +0000 2017"
"false","false","https://pbs.twimg.com/profile_banners/22626807/1581469872","Tue Mar 03 14:13:11 +0000 2009","Christ follower. Saved by Grace. Boomer. I love my President. MAGA 🇺🇸❤️❤️😎😎
 tick tock..",,,,,,"0","4040","1004","4638","true","22626807","false","false","false","United States","1982","Patriot Mom","461151185320173568","false","https://pbs.twimg.com/profile_images/1227400407921635328/92_acEJE_normal.jpg","","15186","https://twitter.com/truthis4all","user","https://x.com/truthis4all","truthis4all",,"NEW Wikileaks dump on election meddling, only THIS time&amp;#8230; https://t.co/hhBUs8N0rg via @AllenWest","Sat Feb 18 22:39:00 +0000 2017"
"false","false","https://pbs.twimg.com/profile_banners/52227591/1539740566","Mon Jun 29 23:25:11 +0000 2009","Every human emotion can be invoked and expressed through music.
My feet have walked on every continent, except Antarctica.

Admirer of Adam Lambert.",,,,,,"0","194361","669","633","true","52227591","false","false","false","Stardust, Universe","902","Lotti V",,"false","https://pbs.twimg.com/profile_images/1043752538313580544/XPZ0VTBV_normal.jpg","","20635","https://twitter.com/Lotti_V","user","https://x.com/Lotti_V","Lotti_V",,"Dutch election. All votes will be counted by hand due to proven meddling/interference by Russia. https://t.co/bDpmj96xzs","Sat Feb 18 22:29:39 +0000 2017"
"false","true","https://pbs.twimg.com/profile_banners/16046588/1551880678","Fri Aug 29 19:56:20 +0000 2008","Strategist & educator. Healthtech, author 'Scaling', founder unDavos. IPO in 2006. Past days WEF Tech Pioneer 2008 & (now ex)YGL","markturrell.com","http://markturrell.com","0","23","https://t.co/22kbQhjamW","0","75960","3409","4278","true","16046588","false","false","false","Berlin, Germany","708","Mark Turrell",,"false","https://pbs.twimg.com/profile_images/1103293645413933057/OgS-IlIP_normal.jpg","","49285","https://twitter.com/mark_turrell","user","https://x.com/mark_turrell","mark_turrell",,"Plot to assassinate a European leader - more than election meddling https://t.co/9nf6fp8wRB","Sat Feb 18 22:25:03 +0000 2017"
"false","true","https://pbs.twimg.com/profile_banners/819268713396375553/1485188844","Wed Jan 11 19:44:17 +0000 2017","I'm just speakin' my mind....if you can't see it.....I can dig it",,,,,,"0","183","12","157","false","819268713396375553","false","false","false","San Diego, CA","522","Nevada Smith",,"false","https://pbs.twimg.com/profile_images/1018254263972032512/OlFHSfOh_normal.jpg","","2107","https://twitter.com/NevadaSmith711","user","https://x.com/NevadaSmith711","NevadaSmith711",,"John McCain: Russian Election Meddling Is Even More Serious Than A Physical Attack https://t.co/FAOvC361RW","Sat Feb 18 22:14:43 +0000 2017"
"false","true",,"Thu Sep 03 02:29:50 +0000 2009","An extremely complicated man. Retired (health)in 1999. Environmental law practice and specialized in suing banks for cheating their customers. RICO",,,,,,"0","378","270","1193","false","71148666","false","false","false","Clearwater, Florida","255","Michael McDaniel",,"false","https://pbs.twimg.com/profile_images/1221688165/Photo_10_normal.jpg","","3168","https://twitter.com/oldgymrat71","user","https://x.com/oldgymrat71","oldgymrat71",,"BREAKING: Mitch McConnell Implicated In Coverup Of Russia/Trump Election Meddling, FBI Inquiry","Sat Feb 18 21:38:58 +0000 2017"
"false","false","https://pbs.twimg.com/profile_banners/388592432/1479979428","Tue Oct 11 00:51:59 +0000 2011","#RipplesOfFreedom #ResistWithLove #FreedomOfLifeLibertyJustice #DemocracyForAll #Freedom4Humanity #ChauvinistIcPigs Walk in others shoes b4 judging 💕🌎☮️",,,,,,"0","8125","207","491","true","388592432","false","false","false","Sacramento CA","28","OneHeart1World",,"false","https://pbs.twimg.com/profile_images/872120784696745985/rNQWgTYq_normal.jpg","","10412","https://twitter.com/OneHeart1World","user","https://x.com/OneHeart1World","OneHeart1World",,"John McCain: Russian Election Meddling Is Even More Serious Than A Physical Attack https://t.co/htTJZG2xZB @SenatorJohnMccain What beng done","Sat Feb 18 21:15:06 +0000 2017"
"false","true",,"Mon Jan 09 15:48:38 +0000 2017","",,,,,,"0","374","2","103","false","818484633817886720","false","false","false","","0","James  Lorang",,"false","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","","185","https://twitter.com/jlorang2","user","https://x.com/jlorang2","jlorang2",,"John McCain: Russian Election Meddling Is Even More Serious Than A Physical Attack https://t.co/xHIKTTq57n","Sat Feb 18 21:04:42 +0000 2017"
