"author/affiliatesHighlightedLabel/label/badge/url","author/affiliatesHighlightedLabel/label/description","author/affiliatesHighlightedLabel/label/longDescription/entities/0/fromIndex","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/mention_results/result/__typename","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/mention_results/result/legacy/screen_name","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/mention_results/result/rest_id","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/screen_name","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/type","author/affiliatesHighlightedLabel/label/longDescription/entities/0/toIndex","author/affiliatesHighlightedLabel/label/longDescription/text","author/affiliatesHighlightedLabel/label/userLabelType","author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","author/verifiedType","text","createdAt"
,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/15159600/1354327155","Wed Jun 18 16:32:06 +0000 2008","We might have to go through some things @knowyourobama.bsky.social",,,,,,,,,,,"0","56571","5072","4203","true","15159600","false","false","false","","6142","KnowYourObama","1856723676122509522","false","https://pbs.twimg.com/profile_images/835859659038867456/tyuuxmMN_normal.jpg","","264804","https://twitter.com/KnowYourObama","user","https://x.com/KnowYourObama","KnowYourObama",,"@rmccorkle @AnnCoulter Mueller. Criminal investigation. KremlinGate. Trumpy. Down. Cuffs. fun!!!!!!!","Thu Jun 01 20:07:26 +0000 2017"
,,,,,,,,,,,"true","true","https://pbs.twimg.com/profile_banners/823344212649209857/1485135766","Mon Jan 23 01:38:52 +0000 2017","",,,,,,,,,,,"0","0","8","93","false","823344212649209857","false","false","false","","18365","World Bugle",,"false","https://pbs.twimg.com/profile_images/823345838432743424/V_2AU3Zp_normal.jpg","","23481","https://twitter.com/worldbugle","user","https://x.com/worldbugle","worldbugle",,"Putin: ‘Patriots’ may be behind election meddling https://t.co/5i9CBUHD3i https://t.co/9Xb9XUoYxF","Thu Jun 01 23:58:03 +0000 2017"
,,,,,,,,,,,"false","true",,"Fri Oct 01 20:27:25 +0000 2010","Robert Fife is Ottawa Bureau Chief of the Globe and Mail.",,,,,,"theglobeandmail.com","http://theglobeandmail.com","0","23","https://t.co/vujEDtitSq","0","4026","98430","827","true","197554405","true","false","false","Ottawa","1579","Robert Fife","1848676513597505909","false","https://pbs.twimg.com/profile_images/675446202272374788/TZbvxlj1_normal.jpg","","29646","https://twitter.com/RobertFife","user","https://x.com/RobertFife","RobertFife",,"Putin Hints at U.S. Election Meddling by ‘Patriotically Minded’ Russians, via @nytimes https://t.co/Ky2y2XGfpt","Thu Jun 01 23:56:59 +0000 2017"
,,,,,,,,,,,"true","false","https://pbs.twimg.com/profile_banners/386050478/1611199706","Thu Oct 06 15:49:33 +0000 2011","For my gay granddaughter,my biracial grandkids, I will fight 4 Ur rights ‘til I die! #Biden/Harris #BlueWave #Equality #NoLists",,,,,,,,,,,"0","10792","1347","1634","true","386050478","false","false","false","Florida, USA","429","Maruchi-in-SFLa",,"false","https://pbs.twimg.com/profile_images/1352095681381621760/3177lKIc_normal.jpg","","14335","https://twitter.com/alemay77","user","https://x.com/alemay77","alemay77",,"Come on, guys!Do we expect truth from Putin?Putin Hints at U.S. Election Meddling by ‘Patriotically Minded’ Russians https://t.co/KNhLRvz3zZ","Thu Jun 01 23:52:08 +0000 2017"
,,,,,,,,,,,"true","true","https://pbs.twimg.com/profile_banners/192947924/1683913866","Mon Sep 20 15:55:46 +0000 2010","Manager of senior housing. Friends admire me for doing fairly well in a job I'm so ill-suited for.",,,,,,,,,,,"0","24659","433","1674","true","192947924","false","false","false","The dome i built 👆🏼","149","Victoria St.Ambrogio","960761410497269760","false","https://pbs.twimg.com/profile_images/816470797971816448/-rodh9xa_normal.jpg","","11525","https://twitter.com/VickiSant","user","https://x.com/VickiSant","VickiSant",,"@ErinBurnett @cnn I can't believe this. Why are you bothering to talk w/o end of Russian meddling and not see that it did in our election?","Thu Jun 01 23:51:53 +0000 2017"
,,,,,,,,,,,"true","false","https://pbs.twimg.com/profile_banners/140281533/1731469824","Wed May 05 03:03:50 +0000 2010","",,,,,,,,,,,"0","41048","5161","1723","true","140281533","false","false","false","United Kingdom","1840","…",,"false","https://pbs.twimg.com/profile_images/1856545071203536896/_UIgkW4U_normal.jpg","","48104","https://twitter.com/bigbird159","user","https://x.com/bigbird159","bigbird159",,"Putin Hints at U.S. Election Meddling by ‘Patriotically Minded’ Russians, via @nytimes
 https://t.co/CEw280N7v3","Thu Jun 01 23:51:51 +0000 2017"
,,,,,,,,,,,"true","false","https://pbs.twimg.com/profile_banners/2444129791/1588049328","Mon Apr 14 16:18:45 +0000 2014","Urban Studies Master's Graduate, MLIS Student, and Independent Scholar with a focus on public space and democracy. @saillecaia.urbanist.social
She/they",,,,,,,,,,,"0","60315","191","440","true","2444129791","false","false","false","","97","Saille Caia",,"false","https://pbs.twimg.com/profile_images/1631100796350627841/vD0j-GS9_normal.jpg","","5596","https://twitter.com/saillecaia","user","https://x.com/saillecaia","saillecaia",,"Putin Hints at U.S. Election Meddling by ‘Patriotically Minded’ Russians https://t.co/AJjKtQYdr9","Thu Jun 01 23:50:30 +0000 2017"
,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/3905703855/1477629138","Fri Oct 09 04:32:18 +0000 2015","We report the real news and situations, happening around the world.
That the mainstream media doesn't want you to know about!
We are your source for the most",,,,,,"WorldSourceMedia.com","http://www.WorldSourceMedia.com","0","22","http://t.co/ifbUn5Mx97","0","0","80","51","false","3905703855","false","false","false","","27420","World Source",,"false","https://pbs.twimg.com/profile_images/791860022850584576/Y7VB0swd_normal.jpg","","44624","https://twitter.com/worldsource2015","user","https://x.com/worldsource2015","worldsource2015",,"Trump’s Personal Attorney Now Part of Investigation Into Russian Meddling in Election https://t.co/E2Zy7THzjc","Thu Jun 01 23:48:28 +0000 2017"
,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/717353895719215104/1460200855","Tue Apr 05 14:11:11 +0000 2016","",,,,,,"urdupoint.news","http://urdupoint.news","0","23","https://t.co/mq5l4XNcOU","0","0","106","1","false","717353895719215104","false","false","false","","38409","Urdupoint_News",,"false","https://pbs.twimg.com/profile_images/746329247871016961/zd1PPnJ5_normal.jpg","","39418","https://twitter.com/Urdupoint_News","user","https://x.com/Urdupoint_News","Urdupoint_News",,"Putin: 'Patriots' could also be behind election meddling - https://t.co/8dxhjsITVA https://t.co/twPwCNNDwK","Thu Jun 01 23:46:18 +0000 2017"
,,,,,,,,,,,"false","true",,"Tue Nov 15 04:43:27 +0000 2016","",,,,,,,,,,,"0","1","13","65","false","798385902489837568","false","false","false","","31","Chuck JENKINS",,"false","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","","3791","https://twitter.com/ChuckJENKINS15","user","https://x.com/ChuckJENKINS15","ChuckJENKINS15",,"Putin Hints at U.S. Election Meddling by ‘Patriotically Minded’ Russians https://t.co/9oAOIwR4x6","Thu Jun 01 23:45:12 +0000 2017"
,,,,,,,,,,,"false","false","https://pbs.twimg.com/profile_banners/59317175/1712431776","Thu Jul 23 01:22:59 +0000 2009","Proud husband & dad. Pray for our country. Constitution rules. Braves fan. Helping people save money and protect their families. Auto-Home-Life-Health.",,,,,,,,,,,"0","1513","204","388","true","59317175","false","false","false","Southeast, TN","4275","Old fart in Tennessee with SENSE",,"false","https://pbs.twimg.com/profile_images/1764334880308047873/Iq7vI0_Z_normal.jpg","","13746","https://twitter.com/guffstr","user","https://x.com/guffstr","guffstr",,"Like Obama's meddling in the Israeli election? https://t.co/zbtZeR5RdM","Thu Jun 01 23:43:36 +0000 2017"
,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/335488187/1585443741","Thu Jul 14 19:20:26 +0000 2011","",,,,,,"facebook.com/stephaniekayan…","https://www.facebook.com/stephaniekayanders","0","23","https://t.co/aX7JEBGRY7","0","1395","301","736","false","335488187","false","false","false","New Orleans","48","AndersStephanie",,"false","https://pbs.twimg.com/profile_images/1244067330600165376/qpUd3ccV_normal.jpg","","51039","https://twitter.com/AndersStephanie","user","https://x.com/AndersStephanie","AndersStephanie",,"Trump weighing return of Russian compounds seized over election meddling: report https://t.co/O1djx1F1HC","Thu Jun 01 23:42:05 +0000 2017"
,,,,,,,,,,,"false","true",,"Sat Apr 23 06:51:31 +0000 2011","Old new left in late 60's and early 70's.",,,,,,,,,,,"0","96","661","1800","false","286554438","false","false","false","Kawanishi, Hyogo, Japan","374","seimim0905",,"false","https://pbs.twimg.com/profile_images/1323322722/image_normal.jpg","","15426","https://twitter.com/seimim0905","user","https://x.com/seimim0905","seimim0905",,"Putin Hints at U.S. Election Meddling by ‘Patriotically Minded’ Russians, via @nytimes

Are you kidding? https://t.co/CPe8EZ2xhA","Thu Jun 01 23:36:14 +0000 2017"
,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/3225271701/1488111509","Thu Apr 30 21:19:05 +0000 2015","Latest Video World News 📽️📺🗞️
@VeoNoticias_
A site for @Teleame",,,,,,"VeoNews.teleame.com","http://VeoNews.teleame.com","0","23","https://t.co/8cLBtRowTT","0","7","418","922","false","3225271701","false","false","false","World","198020","Veo News",,"false","https://pbs.twimg.com/profile_images/835825387875758080/McyJqYfp_normal.jpg","","222045","https://twitter.com/VeoNews_","user","https://x.com/VeoNews_","VeoNews_",,"Putin: ‘Patriots’ may be behind election meddling https://t.co/H5B9Pzu7JV https://t.co/Q5Filbozkk","Thu Jun 01 23:35:08 +0000 2017"
,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/831128137769504770/1490276494","Mon Feb 13 13:09:24 +0000 2017","Find the latest videos on https://t.co/ocMkBj9SxO Watch videos from various sources about politics, world news, music, movies, tech, entertainment  and more.","Videokron.com","http://Videokron.com","26","49","https://t.co/ocMkBj9SxO","videokron.com","https://www.videokron.com/","0","23","https://t.co/UIvoLu0NF7","0","95","386","437","false","831128137769504770","false","false","false","Moeskroen, Belgium","11736","VideoKron","910102606546182144","false","https://pbs.twimg.com/profile_images/832562524797227009/06PcJv1j_normal.jpg","","115916","https://twitter.com/VideoKron","user","https://x.com/VideoKron","VideoKron",,"Putin: 'Patriots' may be behind election meddling - https://t.co/Xgpfd95vCj","Thu Jun 01 23:35:05 +0000 2017"
"https://pbs.twimg.com/semantic_core_img/1428827730364096519/4ZXpTBhS?format=png&name=orig","Automated","13","User","FabCurators","1531870169727127552","FabCurators","TimelineRichTextMention","25","Automated by @FabCurators","AutomatedLabel","false","true","https://pbs.twimg.com/profile_banners/3074799338/1492876825","Thu Mar 12 07:36:02 +0000 2015","https://t.co/LDKtWfvTOv - breaking news in videos. From the world's best news sources. All in one place. Virtually in realtime #NewsInVids #NewsInVidsCom","NewsInVids.com","http://NewsInVids.com","0","23","https://t.co/LDKtWfvTOv","newsinvids.com","http://www.newsinvids.com","0","23","https://t.co/1PMUb11XUZ","0","2","734","1195","false","3074799338","false","false","false","","132398","Breaking World News In Videos. From NewsInVids.com",,"false","https://pbs.twimg.com/profile_images/855812066552172544/VSLuyBRK_normal.jpg","","168512","https://twitter.com/NewsInVids","user","https://x.com/NewsInVids","NewsInVids",,"Putin: ‘Patriots’ may be behind election meddling https://t.co/H7VfQgIE7v #NewInVids https://t.co/nhxEL2MS7D","Thu Jun 01 23:34:40 +0000 2017"
,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/3146174037/1483120851","Wed Apr 08 02:31:54 +0000 2015","anthropologist, minister, healthcare worker, delegate and activist",,,,,,,,,,,"0","2240","101","208","true","3146174037","false","false","false","Alameda, CA","103","Gaby Dolphin",,"false","https://pbs.twimg.com/profile_images/890943619493896193/S-bF4NMj_normal.jpg","","1966","https://twitter.com/a392769cdc73425","user","https://x.com/a392769cdc73425","a392769cdc73425",,"There are business shenanigans yes, but no election meddling except for conflating mud ugly politics with big business that's it and ALL. https://t.co/iglUCa5pqO","Thu Jun 01 23:34:23 +0000 2017"
,,,,,,,,,,,"true","true","https://pbs.twimg.com/profile_banners/817911691526701056/1490365501","Sun Jan 08 01:51:58 +0000 2017","We are the Miami chapter of the #Indivisible movement!",,,,,,"vrlstyl.com/fernandoshop/l…","http://vrlstyl.com/fernandoshop/limited-editivbgghhf-dffhd1fgjh-1-1-1-1-1-1-1lh-1","0","23","https://t.co/bopHkLUWuI","0","5940","1748","961","true","817911691526701056","false","false","false","Miami, FL","607","Indivisible Miami","1787905169264636236","false","https://pbs.twimg.com/profile_images/865301932352708608/ekg94NNd_normal.jpg","","10153","https://twitter.com/IndivisibleMIA","user","https://x.com/IndivisibleMIA","IndivisibleMIA",,"This is why we #MarchForTruth. Stay WOKE!
  Putin Hints at U.S. Election Meddling by ‘Patriotically Minded’ Russians https://t.co/6GE2etfr00","Thu Jun 01 23:33:27 +0000 2017"
,,,,,,,,,,,"false","false","https://pbs.twimg.com/profile_banners/770830972283719680/1563231350","Wed Aug 31 03:49:59 +0000 2016","CEO @ Bluum Ventures #Canucks",,,,,,"bluum.ventures","https://bluum.ventures/","0","23","https://t.co/YJqUKVmdqM","0","2468","616","2081","true","770830972283719680","true","false","false","Vancouver, Canada","103","Will Lymer",,"false","https://pbs.twimg.com/profile_images/978811243036200961/3pKnzceG_normal.jpg","","1524","https://twitter.com/WillLymer","user","https://x.com/WillLymer","WillLymer",,"Putin Hints at U.S. Election Meddling by ‘Patriotically Minded’ Russians https://t.co/tmhOXPxJgo #cybersecurity #cyberwar","Thu Jun 01 23:31:45 +0000 2017"
,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/1286521748/1582758639","Thu Mar 21 17:29:39 +0000 2013","Man about Venice, North Port and South County at Herald-Tribune Media Group, occasional photographer, early-adopter Parrothead.",,,,,,"heraldtribune.com","http://www.heraldtribune.com","0","23","https://t.co/lZLPJGYDy1","0","11522","2977","3366","true","1286521748","false","false","false","Sarasota, FL","1408","Earle Kimel","1753954174906024408","false","https://pbs.twimg.com/profile_images/1833616442442297344/nWCBM0x9_normal.jpg","","53449","https://twitter.com/earlekimel","user","https://x.com/earlekimel","earlekimel",,"Putin Hints at U.S. Election Meddling by ‘Patriotically Minded’ Russians, via @nytimes https://t.co/qwxeEvt6cS","Thu Jun 01 23:31:06 +0000 2017"
,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/3905703855/1477629138","Fri Oct 09 04:32:18 +0000 2015","We report the real news and situations, happening around the world.
That the mainstream media doesn't want you to know about!
We are your source for the most",,,,,,"WorldSourceMedia.com","http://www.WorldSourceMedia.com","0","22","http://t.co/ifbUn5Mx97","0","0","80","51","false","3905703855","false","false","false","","27420","World Source",,"false","https://pbs.twimg.com/profile_images/791860022850584576/Y7VB0swd_normal.jpg","","44624","https://twitter.com/worldsource2015","user","https://x.com/worldsource2015","worldsource2015",,"Trump’s Personal Attorney Now Part of Investigation Into Russian Meddling in Election https://t.co/jnglk5Q8EA https://t.co/aNFeB1cgNu","Thu Jun 01 23:31:06 +0000 2017"
,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/3062042545/1566839823","Thu Mar 05 01:05:47 +0000 2015","News videos from all over the world embedded from Youtube, Dailymotion. Latest breaking news videos from all leading news channels from USA, UK, Canada.",,,,,,"news-videos.xyz","https://www.news-videos.xyz/","0","23","https://t.co/tXDV2ULYXU","0","0","21","0","false","3062042545","false","false","false","","32171","newsvideos","1251675762412982273","false","https://pbs.twimg.com/profile_images/1166036839960068098/bCy5TPGr_normal.png","","74181","https://twitter.com/watchnewsvideos","user","https://x.com/watchnewsvideos","watchnewsvideos",,"Putin: ‘Patriots’ may be behind election meddling https://t.co/zcKSJk67er","Thu Jun 01 23:30:33 +0000 2017"
,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/3905703855/1477629138","Fri Oct 09 04:32:18 +0000 2015","We report the real news and situations, happening around the world.
That the mainstream media doesn't want you to know about!
We are your source for the most",,,,,,"WorldSourceMedia.com","http://www.WorldSourceMedia.com","0","22","http://t.co/ifbUn5Mx97","0","0","80","51","false","3905703855","false","false","false","","27420","World Source",,"false","https://pbs.twimg.com/profile_images/791860022850584576/Y7VB0swd_normal.jpg","","44624","https://twitter.com/worldsource2015","user","https://x.com/worldsource2015","worldsource2015",,"Trump’s Personal Attorney Now Part of Investigation Into Russian Meddling in Election https://t.co/dQ5v46s8K9","Thu Jun 01 23:30:11 +0000 2017"
,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/865213853092786176/1534628254","Thu May 18 14:33:52 +0000 2017","Trending news videos and breaking live streams from U.S. based news channels on YouTube. (via @dvolatility @goldusdx @macroalgo @qwerl_nouvel)",,,,,,,,,,,"0","0","802","19","false","865213853092786176","false","false","false","Metro Detroit, MI","2513","Trending Newscast",,"false","https://pbs.twimg.com/profile_images/1084935107213963264/HWxRTCef_normal.jpg","","97134","https://twitter.com/TrendingNewsTV","user","https://x.com/TrendingNewsTV","TrendingNewsTV",,"Putin: 'Patriots' may be behind election meddling https://t.co/9I3gw5LO5c #trending #news #video","Thu Jun 01 23:28:25 +0000 2017"
,,,,,,,,,,,"true","true","https://pbs.twimg.com/profile_banners/830277701227405316/1543364810","Sat Feb 11 04:50:04 +0000 2017","⚖#CriminalConspiracy ⚖#ObstructionOfJustice💰#MoneyLaundering 💵#TaxFraud💰#BankFraud⌨#WireFraud💵#TaxEvasion #Subversion https://t.co/UbG8ouK0oW $21,800,000,000,000","USDebtClock.org","http://USDebtClock.org","118","141","https://t.co/UbG8ouK0oW",,,,,,"0","2823","283","977","false","830277701227405316","false","false","false","United States","271","⚖I AM a Crook!💰🇩🇪🏦🇸🇦💵🇨🇾💰🇺🇦💵🕵️‍♂️🇷🇺","1068404058883534848","false","https://pbs.twimg.com/profile_images/911730692303683584/FC2xZcie_normal.jpg","","5578","https://twitter.com/Hjiiti","user","https://x.com/Hjiiti","Hjiiti",,"Putin denies meddling in EVERYBODY'S election! https://t.co/78ydrcEL3n","Thu Jun 01 23:27:02 +0000 2017"
,,,,,,,,,,,"false","false","https://pbs.twimg.com/profile_banners/36741409/1406858577","Thu Apr 30 19:00:09 +0000 2009","Commissioner: congressional 'Commission on Native Children;' ~ Author: 'Dying in Indian Country;' ~ Doctoral Candidate, Public Policy; ~ CONSERVATIVE.",,,,,,"DyingInIndianCountry.com","http://DyingInIndianCountry.com","0","23","https://t.co/5ts4Sujuo7","0","48638","2867","2611","true","36741409","true","false","false","USA","2569","Elizabeth Morris, MPP","1643694225387814912","false","https://pbs.twimg.com/profile_images/495027146448830466/yNb-1mP9_normal.jpeg","","75348","https://twitter.com/KidsDyingOnRez","user","https://x.com/KidsDyingOnRez","KidsDyingOnRez",,"CNN twerked words from Assange to make it sound as if he had been""meddling"" in US election... https://t.co/tyX0AL1DJX","Thu Jun 01 23:26:56 +0000 2017"
