"author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","text","createdAt"
"false","true",,"Wed Nov 14 01:51:55 +0000 2012","",,,,,,,,,,,"0","523596","3207","3492","true","946882993","false","false","false","","2319","Roxanne Wright",,"false","https://pbs.twimg.com/profile_images/3280058700/f53a603fd1bff30f5a0b868ae395a3ce_normal.jpeg","","387687","https://twitter.com/roxannelwright","user","https://x.com/roxannelwright","roxannelwright","@roberticog777 @anradila17 @tonyhunterajh, the FBI found enough reason to have an investigation into Trump and Russia's connections.","Fri Dec 02 16:07:54 +0000 2016"
"false","true","https://pbs.twimg.com/profile_banners/798251749517787137/1479321820","Mon Nov 14 19:50:22 +0000 2016","United against Hate        
******
For the History Books: The 2016 Election was a Russian/Republican Coup
******",,,,,,,,,,,"0","22460","1210","2613","true","798251749517787137","false","false","false","","28","Schmetterling","1411266360970289158","false","https://pbs.twimg.com/profile_images/819615913267908609/faGoSgG2_normal.jpg","","27323","https://twitter.com/NastyWomenRoar","user","https://x.com/NastyWomenRoar","NastyWomenRoar","AND when will we hear details of that investigation and Trump's and his advisers' ties to Russia? https://t.co/qhOTO9J1oH","Fri Dec 02 12:13:59 +0000 2016"
"false","false",,"Mon Nov 28 14:48:43 +0000 2016","Pro choice, Pro Immigrant, Pro Environment, Pro Diversity, Pro Woman, Pro LBGTQ, Pro Government Accountability, PRO LOVE.",,,,,,,,,,,"0","373","117","282","false","803249266097586176","false","false","false","","104","Against Kleptocracy",,"false","https://pbs.twimg.com/profile_images/803259348306640897/aO4yVX7T_normal.jpg","","1645","https://twitter.com/NoKleptocracy","user","https://x.com/NoKleptocracy","NoKleptocracy","Trump's ties to Russia are known yet no investigation? @jasoninthehouse #TrumpConflicts 
https://t.co/rykNk3MPd6","Fri Dec 02 07:09:37 +0000 2016"
"false","true","https://pbs.twimg.com/profile_banners/33380978/1645726526","Mon Apr 20 02:08:04 +0000 2009","A woman who builds stuff Genetically political its in my genes Artistic at heart Sarcastic & funny Deplorables Blocked",,,,,,,,,,,"0","45611","651","802","true","33380978","false","false","false","United States","3372","Feleese #Resist #VoteBlue","1284359503392108544","false","https://pbs.twimg.com/profile_images/1496911618352959490/VRW9ps6E_normal.jpg","","61664","https://twitter.com/feleese","user","https://x.com/feleese","feleese","@SoWithHer @Honey17011 @CNNPolitics Disgusted still no investigation into Russian communications w/Trump Camp Russia admitted it!","Fri Dec 02 03:33:17 +0000 2016"
"true","false","https://pbs.twimg.com/profile_banners/773169389902270469/1482447974","Tue Sep 06 14:42:02 +0000 2016","Democrat. Proud @HillaryClinton supporter #StillWithHer #OnwardTogether #MeToo #VoteLikeBlackWomen #BlackLivesMatter #RidinwithBiden #KHive #LGBTQally she/her",,,,,,,,,,,"0","366800","6153","6737","true","773169389902270469","false","false","false","United States","331","TinaMarie 🇺🇸🗽🌊🌎🏳️‍🌈💛🐝",,"false","https://pbs.twimg.com/profile_images/1857569726102110208/s9Lx4BaV_normal.jpg","","168918","https://twitter.com/TinaMarie88888","user","https://x.com/TinaMarie88888","TinaMarie88888","Confirmed collusion of trump campaign with Russia. Comey helped suppress. Call senators, reps, DOJ &amp; demand investigation #treason https://t.co/QFaLFUiFro","Fri Dec 02 03:09:49 +0000 2016"
"true","false","https://pbs.twimg.com/profile_banners/368352333/1478867876","Mon Sep 05 14:08:05 +0000 2011","Human being, IT professional, artist, musician, pet lover, WNBA fan, and works hard to enjoy life!",,,,,,,,,,,"0","13491","321","580","false","368352333","false","false","false","Atlanta, Georgia","720","L Bee","1854578747711648053","false","https://pbs.twimg.com/profile_images/1826285363658199040/RrBFOmHM_normal.jpg","","38264","https://twitter.com/LostDarling","user","https://x.com/LostDarling","LostDarling","https://t.co/Sj4rxPT1dk Probably the payment for meddling in the US Election...","Fri Dec 02 23:57:12 +0000 2016"
"false","true","https://pbs.twimg.com/profile_banners/228668143/1679994266","Mon Dec 20 10:28:20 +0000 2010","My pieces consist of paintings, drawings and graphically striking images. Being self-taught has given me the freedom to experiment with all types of mediums.",,,,,,"artifyvibes.com","https://www.artifyvibes.com","0","23","https://t.co/yDQC7854bP","0","1423","14199","18363","true","228668143","false","false","false","Auckland New Zealand ","3492","Artify Vibes","1120665083015643138","false","https://pbs.twimg.com/profile_images/1765290630232850432/bYh162eO_normal.jpg","","52991","https://twitter.com/artifyvibes","user","https://x.com/artifyvibes","artifyvibes","7 Senate Democrats Urge Obama To Declassify Information About Russia Meddling In US Election via @politicususa https://t.co/FXgEuXJlTz","Fri Dec 02 23:56:25 +0000 2016"
"true","true","https://pbs.twimg.com/profile_banners/1355614225/1606828343","Mon Apr 15 23:40:18 +0000 2013","Democrat. moved from Chicago To Arizona in 2001",,,,,,,,,,,"0","8955","571","43","true","1355614225","true","false","false","Arizona, USA","2039","ED Malik","1763527691754704914","false","https://pbs.twimg.com/profile_images/1063276060249284608/1wK6xY3W_normal.jpg","","4379","https://twitter.com/edmundmalik1","user","https://x.com/edmundmalik1","edmundmalik1","https://t.co/kIZU0dSAzy

7 Senate Democrats Urge Obama To Declassify Information About Russia Meddling In US Election","Fri Dec 02 23:46:07 +0000 2016"
"false","true","https://pbs.twimg.com/profile_banners/120136714/1482874709","Fri Mar 05 15:35:24 +0000 2010","❌",,,,,,,,,,,"0","67915","1851","3987","true","120136714","false","false","false","","107","❌Trump Supporter",,"false","https://pbs.twimg.com/profile_images/813860076830101504/YTmOrzJN_normal.jpg","","16792","https://twitter.com/coco211939","user","https://x.com/coco211939","coco211939","Media saying that they have new proof of Russia meddling with election to help DJT win and Dems are urging Obama to stop his presidency","Fri Dec 02 23:07:39 +0000 2016"
"false","true","https://pbs.twimg.com/profile_banners/715682904790142976/1459469097","Thu Mar 31 23:31:16 +0000 2016","National anti-Trump web site organizing activists with a directory of resources against Donald Trump",,,,,,"americansunitedagainsttrump.com","http://americansunitedagainsttrump.com/","0","23","https://t.co/lzkBKGrxav","0","267","1200","276","false","715682904790142976","false","false","false","","268","US Against Trump",,"false","https://pbs.twimg.com/profile_images/715683550591389696/cnTxmro8_normal.jpg","","1325","https://twitter.com/USAntiTrump","user","https://x.com/USAntiTrump","USAntiTrump","Russia accuses Ukraine of meddling in US election. In other news, mob boss berates child for shoplifting.","Fri Dec 02 22:58:07 +0000 2016"
