"author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","text","createdAt"
"false","false","https://pbs.twimg.com/profile_banners/99170887/1610190178","Thu Dec 24 21:18:28 +0000 2009","Too intense for kids, 21+ please, We parrots pull no punches. You list, I block. I'm Jinx, Spokesbird for We Parrots #ProChoice #1A #2A #5A #Republican #Veteran",,,,,,,,,,,"0","203784","2684","1283","true","99170887","false","false","false","The Socialist Workers Paradise","18745","Portable Parrot MBA","851067986291167233","false","https://pbs.twimg.com/profile_images/1254050508454727689/4fhAzMnr_normal.jpg","","354075","https://twitter.com/MilosParrots","user","https://x.com/MilosParrots","MilosParrots","He @realDonaldTrump brought Tillerson in when the @CIA started spewing about Russian meddling in the U.S. Election which may not be true.","Sat Dec 10 23:58:03 +0000 2016"
"false","false",,"Fri Feb 27 11:04:45 +0000 2009","mostly harmless",,,,,,,,,,,"0","49","24","202","false","22129163","false","false","false","Weatherford OK","55","Leanna Kysar-Mercer","582924804598169600","false","https://pbs.twimg.com/profile_images/748045742/circlebow_petals_thick_5X_normal.jpg","","17100","https://twitter.com/leanna57","user","https://x.com/leanna57","leanna57","BREAKING: Mitch McConnell Implicated In Russia/Trump Election Meddling, FBI Inquiry https://t.co/n0FM1ZLzhK","Sat Dec 10 23:55:58 +0000 2016"
"false","false","https://pbs.twimg.com/profile_banners/1246840543/1561469704","Wed Mar 06 19:30:58 +0000 2013","Hair Color Specialist in Austin area,     color WOW - Aloxxi Hair Color - Uberliss Smoothing Treatment",,,,,,,,,,,"0","78","87","460","false","1246840543","false","false","false","Austin, TX","13","davidinaustin",,"false","https://pbs.twimg.com/profile_images/1143513256901955584/UwD33PPC_normal.png","","7788","https://twitter.com/DavidJContrera1","user","https://x.com/DavidJContrera1","DavidJContrera1","BREAKING: Mitch McConnell Implicated In Russia/Trump Election Meddling, FBI Inquiry https://t.co/UaYBmCYhCR","Sat Dec 10 23:55:08 +0000 2016"
"true","false","https://pbs.twimg.com/profile_banners/2185622173/1732877986","Sun Nov 10 04:51:28 +0000 2013","Proudly blocked by felon-boy George Papadpopolous and PoS catturd2",,,,,,,,,,,"0","87835","2026","4166","true","2185622173","false","false","false","SEQ","22500","Lloyd-Frombriz.bsky.social","1443777845273137154","false","https://pbs.twimg.com/profile_images/1847900727890640896/NzuK83-4_normal.jpg","","126073","https://twitter.com/lloyd_frombriz","user","https://x.com/lloyd_frombriz","lloyd_frombriz","@aiddya @WoodoPhoto @SwiftOnSecurity Normalization of election-meddling over a century by the US, perhaps? 
 https://t.co/FZDuBNtPVl","Sat Dec 10 23:54:08 +0000 2016"
"false","false",,"Thu Jan 21 18:20:05 +0000 2016","",,,,,,,,,,,"0","0","3","0","false","4833387675","false","false","false","Pennsylvania, USA","0","Sue Ryan",,"false","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","","1","https://twitter.com/SueRyan37140211","user","https://x.com/SueRyan37140211","SueRyan37140211","@smerconish Thanks for addressing Russian meddling in election.  You are right- we must unite against this political attack by Russia. Thx!","Sat Dec 10 23:52:36 +0000 2016"
"true","false","https://pbs.twimg.com/profile_banners/794818107759988736/1478335380","Sat Nov 05 08:26:18 +0000 2016","Just a wee girl with a big personality. Physician, Ob /Gyn. Stanford University School of Medicine.From Aberdeenshire, Scotland.  Hubby-USN Physician.",,,,,,,,,,,"0","576","66","600","true","794818107759988736","false","false","false","Currently in Cupertino, Ca. ","35","Elle Mcgill",,"false","https://pbs.twimg.com/profile_images/794822133780094977/yl0kAr8k_normal.jpg","","4364","https://twitter.com/ElleMcGil","user","https://x.com/ElleMcGil","ElleMcGil","Treasonous Mitch McConnell Refused To Oppose Russia Election Meddling For Trump via @politicususa https://t.co/Yz26oHi7qQ","Sat Dec 10 23:50:03 +0000 2016"
"true","false",,"Sat Feb 04 14:28:07 +0000 2012","The last democrat standing.!!",,,,,,,,,,,"0","701","29","196","false","482982579","false","false","false","Usa","4","tom akers",,"false","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","","431","https://twitter.com/left_is_right_2","user","https://x.com/left_is_right_2","left_is_right_2","Trump Is Picking A Fight With The CIA After They Busted Russia Meddling In The Election For Him https://t.co/d2rip6HHBj via @IfYou0nlyNews","Sat Dec 10 23:47:07 +0000 2016"
"true","false","https://pbs.twimg.com/profile_banners/48878694/1725240081","Sat Jun 20 00:35:18 +0000 2009","Interior Designer ~ Artist ~ Collector ~ Dollhouse Miniature Enthusiast. Passionate about antiques, art and architecture. 🌹🦋🐩✡️#🟦🇮🇱",,,,,,"pinterest.com/LadyRosabell/","https://www.pinterest.com/LadyRosabell/","0","23","https://t.co/D7a8NXFAvd","0","169119","2274","1368","true","48878694","false","false","false","Virginia","2486","Sharon","1854262283607920735","false","https://pbs.twimg.com/profile_images/473142525230710784/SaeIPscZ_normal.jpeg","","226911","https://twitter.com/sassysdreams","user","https://x.com/sassysdreams","sassysdreams","BREAKING: Mitch McConnell Implicated In Russia/Trump Election Meddling, FBI Inquiry https://t.co/vTnhPO5uco via @Bipartisan Report","Sat Dec 10 23:46:04 +0000 2016"
"false","false","https://pbs.twimg.com/profile_banners/44052608/1620582799","Tue Jun 02 03:52:56 +0000 2009","I am a Navy Veteran who lives in Southern California with my three dogs. I don’t do DMs! I have served in the Navy from 2000-2008. RIP Taffy 😢😢. #teamTLC",,,,,,,,,,,"0","162388","1249","2828","true","44052608","false","false","false","Long Beach, Ca","2205","sydney","830295140782661632","false","https://pbs.twimg.com/profile_images/1419402217849643008/tR8y8KJo_normal.jpg","","37399","https://twitter.com/tboznchilli","user","https://x.com/tboznchilli","tboznchilli","Assange needs to be brought to justice for espionage and meddling in our election, but can't because Assange is a damn coward and a rapist","Sat Dec 10 23:46:02 +0000 2016"
"false","false","https://pbs.twimg.com/profile_banners/743086073602007040/1510275616","Wed Jun 15 14:21:40 +0000 2016","Left wing crazy.....buddhist......believe in workers' rights....",,,,,,,,,,,"0","2535","67","96","true","743086073602007040","false","false","false","St Petersburg in Andorra","5211","Willi  Bleimeister",,"false","https://pbs.twimg.com/profile_images/873558833477636096/O0jTYVgV_normal.jpg","","41696","https://twitter.com/doc5770","user","https://x.com/doc5770","doc5770","BREAKING: Mitch McConnell Implicated In Russia/Trump Election Meddling, FBI Inquiry https://t.co/DH9sszrRND via @Bipartisan Report","Sat Dec 10 23:45:53 +0000 2016"
